"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"788",0.495440407066093,0.899478313855201,-4.60395832087396,NA,NA,-0.934276843027643,NA,NA,NA,-1.42710447464525,1.36294560732059,NA,NA,NA,6,-61.5324004110969,135.561842242312,7.70557008268166,0.000189774580883734
"5580",-2.94196201004167,1.34501325445498,-3.78364750693551,NA,-1.35299449856031,NA,NA,1.10748827990608,2.14967634049651,-1.02323212258298,NA,3.52553079799228,NA,0.0222304338313691,9,-58.2388086487017,135.561954646801,7.70568248717062,0.000189763915426057
"7348",-2.81880063165486,1.2401500003291,-3.58875460925713,NA,NA,-0.42977348607879,1.19533486715794,NA,1.71242176545557,NA,NA,3.49137063588049,-1.34283580541801,0.0970115066964814,9,-58.2392805210559,135.562898391509,7.70662623187899,0.000189674392203974
"200",-0.963303035042412,1.26398471937809,-4.02776227011019,0.189611025609023,NA,NA,NA,-0.696656137914864,1.8948230015181,NA,NA,NA,NA,NA,6,-61.5334171836531,135.563875787425,7.70760362779411,0.000189581721361771
"4104",-0.336034186185747,0.997066624959849,-4.12995143642836,0.193809671536403,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111253239262049,5,-62.606618260354,135.566177697179,7.70990553754812,0.000189363646875999
"7588",-3.05926079478802,1.2465617442743,-3.46126596688573,NA,NA,NA,1.21986948262501,NA,1.86016824381086,-0.559695205287678,NA,3.5666249477676,-1.20048777262001,0.120036802922061,9,-58.2409666185983,135.566270586594,7.70999842696371,0.00018935485214099
"4036",-2.32081464174911,0.968721750653643,-3.89038324394409,NA,NA,NA,NA,-0.122733406530833,1.49446198779029,-0.954137912695503,1.36170777876004,3.63187702128554,-1.28112457994212,NA,9,-58.2416837692783,135.567704887954,7.71143272832377,0.000189219104861454
"2972",1.30440468039717,1.19606392249712,-5.49181265338239,NA,-2.26219750062019,-0.461074585060757,NA,NA,2.36057972369156,-1.71169013060847,2.16013706715784,NA,-2.0964110076783,NA,9,-58.2425582459342,135.569453841266,7.7131816816357,0.000189053709499122
"7356",-2.15583041383367,1.5087001368608,-3.98262294729358,NA,-1.56773596112354,-0.201666672928971,1.47825923160823,NA,2.2984850110966,NA,NA,3.25458205425635,-1.75894471695306,0.0708258594379543,10,-57.1191391864656,135.571611706265,7.71533954663424,0.000188849843306543
"48",-0.0436662226391171,1.25842301990855,-4.48719418282868,0.428351590388909,-1.34465251971727,NA,0.861493161398834,NA,NA,NA,NA,NA,NA,NA,6,-61.5378703157828,135.572782051684,7.71650989205345,0.000188739365859373
