"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LM","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"6381",-0.3031945528592,NA,NA,0.843306516729556,-2.99672551816953,NA,1.90149704940426,3.59677567708754,-4.96396680722753,NA,NA,NA,0.927340158592081,-1.65291734904035,8,-87.3153080864484,191.503343445624,15.2533545641448,9.87959860422701e-06
"7350",-3.36875697202792,-0.242110693522656,NA,1.80342124678629,NA,1.82167416684266,0.02090480039194,NA,-3.0569923765765,NA,NA,4.13413764119239,1.29771074314215,-1.72124475384231,9,-86.2039625969835,191.505486169577,15.2554972880974,9.86901964590021e-06
"983",-2.70681524014573,NA,2.84899602597579,1.80660934709956,NA,1.57344744476253,NA,0.383897746141822,-3.29690931353233,0.973287998977147,-1.36616768712813,NA,NA,NA,8,-87.3165230944777,191.505773461683,15.2557845802034,9.86760210199564e-06
"3360",-5.04868982056726,-0.311512348311875,2.78329410135787,1.62169491086587,-1.73777335905506,0.745082589689442,NA,NA,NA,0.439482397376501,NA,4.46349727865932,0.315360504017259,NA,9,-86.2050807710698,191.507722517749,15.2577336362701,9.85799053125851e-06
"8058",-4.72511083481342,-0.0634428965885414,NA,NA,-2.45238490892158,0.756636924598476,1.69991282327883,3.06400907748181,NA,1.43502319786931,-1.85604753954062,5.05356300097818,1.43788106124021,-1.56674640891139,11,-83.9391286629891,191.507886955608,15.2578980741286,9.85718005115147e-06
"7043",-1.03414581444313,NA,3.45710899899765,NA,NA,NA,NA,NA,-3.32646253395057,0.840384971753171,-1.18539171364787,NA,1.18849417510309,-1.60629463347711,7,-88.4166254940842,191.507949783349,15.2579609018698,9.85687040383648e-06
"4368",-2.32833485102411,-0.480736856047147,4.46977920414634,1.8169395664644,-2.08263193029211,NA,NA,NA,NA,0.0744797534581886,NA,NA,NA,-1.9938232170689,7,-88.4197306929117,191.514160181004,15.2641712995247,9.82631033351876e-06
"7993",-3.49336300985158,NA,NA,NA,-1.97464498162252,1.20135188545397,0.955342119189383,NA,NA,1.34964361996277,-1.60887851509372,5.35073478068847,1.52738732918447,-1.54018777680878,9,-86.2088312122088,191.515223400027,15.2652345185481,9.8210879617351e-06
"3795",-3.17171419776894,NA,1.95556648759348,NA,NA,1.13524293976377,NA,0.603853846755403,-2.62136812291097,NA,-0.881608860949395,3.08813034781003,1.01057092395771,NA,8,-87.3228352778961,191.518397828519,15.2684089470401,9.80551215535156e-06
"3729",-2.46668070307838,NA,NA,NA,NA,1.66068690868104,NA,NA,-2.67028794286927,NA,-0.950555261826163,3.79363246277041,1.18550130032049,NA,6,-89.5084050943994,191.519804200775,15.2698153192956,9.79861947892994e-06
