"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"2499",-1.21191433690615,NA,-2.52564598565191,NA,NA,NA,NA,4.44066233273408,1.32479733493047,-1.65098531179196,NA,NA,-0.0250868991257372,6,-102.115689700289,216.728420820697,24.8651771694576,7.30203783611514e-08
"23",2.06712581933747,NA,-3.15896488979657,0.414244466588679,NA,-2.24281033053202,NA,NA,NA,NA,NA,NA,NA,4,-104.254803410582,216.743524949819,24.8802812985797,7.24710008278779e-08
"2287",-0.335487569565109,NA,-3.5439231774159,0.811226651560335,-1.78208974273358,NA,-0.471708606268222,4.35571264329522,0.69534477454234,NA,NA,NA,-0.117333446897503,8,-99.9502930523624,216.762861553827,24.8996179025872,7.17737055676331e-08
"59",2.87308909550301,NA,-3.02717277409933,NA,-0.948679652435805,-1.97492521468721,-0.435464290060181,NA,NA,NA,NA,NA,NA,5,-103.206611688217,216.766164552904,24.9029209016648,7.16552691517548e-08
"1043",2.13416228792806,NA,-3.17515388114396,NA,NA,-2.23881698500138,NA,NA,NA,NA,NA,0.328899106283933,NA,4,-104.269122053566,216.772162235787,24.9089185845478,7.14407082389938e-08
"1271",0.282929840580387,NA,-3.3190310643018,0.392131870418392,NA,-1.69437609986429,-0.697680122537357,3.24457270453593,0.798992368538113,NA,NA,0.0738482227489569,NA,8,-99.9552292779233,216.772734004948,24.9094903537089,7.14202873612308e-08
"2295",0.329678224855724,NA,-3.30872443534058,0.385480068555777,NA,-1.69792492845112,-0.697893973572061,3.25600305756357,0.816323017048646,NA,NA,NA,-0.0493410849696942,8,-99.9557191623602,216.773713773822,24.9104701225829,7.13853082425309e-08
"1263",-0.353076775333767,NA,-3.55361593270773,0.827842169234296,-1.77120334892964,NA,-0.489180578678705,4.33420504624589,0.694466051541631,NA,NA,-0.0342572800605829,NA,8,-99.966357561079,216.79499057126,24.9317469200203,7.06299081190279e-08
"2284",0.171931077065659,0.385543944351067,-3.78152080488014,NA,-1.78531566517837,NA,-0.517042322059157,4.53590980603283,0.567103396589855,NA,NA,NA,-0.166966920521721,8,-99.9667490370365,216.795773523175,24.9325298719353,7.06022636195504e-08
"28",2.81731135293977,0.181309688094059,-3.3589294809609,NA,-1.08553615302964,-2.041893932569,NA,NA,NA,NA,NA,NA,NA,5,-103.223505814,216.79995280447,24.9367091532309,7.04548842982037e-08
"100",-0.266532739250388,0.212829362816317,-3.23224585330724,NA,NA,NA,-0.907732874715014,4.0463483097031,NA,NA,NA,NA,NA,5,-103.22405699817,216.80105517281,24.9378115215702,7.04160613815763e-08
"3415",0.00363639926598509,NA,-2.73945691078154,0.396140779425355,NA,-1.66149169029326,NA,3.43118287731785,NA,-0.785251208134919,NA,0.270355443652242,-0.040148718696801,8,-99.9790909405797,216.820457330261,24.9572136790217,6.97362523982332e-08
"1399",-0.0152178164475468,NA,-2.74720770634863,0.400403891198263,NA,-1.66171397469278,0.0180681930873158,3.43218991448583,NA,-0.794269366199161,NA,0.26134380371614,NA,8,-99.9808885438431,216.824052536788,24.9608088855485,6.96110068879412e-08
"1260",0.137175461715226,0.383687727560183,-3.79579261083522,NA,-1.76287131653959,NA,-0.535461262323009,4.50396076400163,0.558039322826128,NA,NA,-0.0109668308777205,NA,8,-100.000927853251,216.864131155603,25.0008875043638,6.82299344680833e-08
"341",-0.857202758073467,NA,NA,0.611110680579137,NA,-1.5454924751786,NA,3.47141610407742,NA,-2.21377870063062,NA,NA,NA,5,-103.257185324366,216.867311825202,25.004068173963,6.81215122655784e-08
"1123",-0.458936227871668,NA,-3.11604052897972,NA,NA,NA,-0.790372229307582,3.9651388234569,NA,NA,NA,0.272987744929025,NA,5,-103.271145708848,216.895232594167,25.0319889429274,6.71771171601259e-08
"3315",0.468378186891794,NA,-3.3137572675987,NA,NA,-1.69924123745891,-0.624689781462842,3.29861474821153,0.762642894477656,NA,NA,0.0902427830571961,-0.0799078192044548,8,-100.023274449392,216.908824347885,25.0455806966458,6.67221374881224e-08
"2423",0.121233508731135,NA,-2.74402036214073,0.391025535027519,NA,-1.66821260716466,0.00428152912212686,3.44444263234733,NA,-0.763205365200445,NA,NA,-0.00563439531757902,8,-100.025694008537,216.913663466176,25.0504198149362,6.656089447734e-08
"103",-0.466782633393236,NA,-3.08135377975432,0.289224879857035,NA,NA,-0.825820417062478,3.95374537053587,NA,NA,NA,NA,NA,5,-103.28049761232,216.91393640111,25.0506927498707,6.655181170042e-08
"1051",2.64058876102384,NA,-3.21913017252412,NA,-0.99300957188675,-2.01672361366009,NA,NA,NA,NA,NA,0.168184158460325,NA,5,-103.281530607296,216.916002391062,25.0527587398228,6.64830995090713e-08
