"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nearest_LM)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"2775",-5.43392280599731,NA,1.2040871520464,0.596620254519812,NA,-0.0503242121240127,NA,-0.775946698958104,0.745594568640778,NA,0.531110810999882,NA,-0.991318868551622,8,-84.3798695663855,185.632466405498,3.62211026827171,0.00581221546527178
"2823",-5.27471889640136,NA,1.24613543368471,0.584524355807851,NA,NA,NA,NA,NA,-0.0984937989803258,0.616367011567736,NA,-0.949770469780378,6,-86.5855625489704,185.674119109917,3.66376297269022,0.00569242000009666
"3847",-8.44822097674572,NA,1.19596058519874,0.559030148491858,NA,NA,NA,NA,NA,-0.108789385291762,0.663008053420447,0.931867412299376,-1.06962991451074,7,-85.5532982187901,185.781295232761,3.77093909553446,0.00539540358894676
"583",-5.05960302427667,NA,1.08004372834456,0.45676091527233,NA,NA,NA,-0.806915367094316,NA,NA,0.492664611751534,NA,NA,5,-87.7229215379004,185.802985932944,3.7926297957172,0.00533720471218978
"3143",-9.98671133007147,NA,1.35403278143314,0.517010081060443,NA,NA,NA,-1.10826227986285,NA,NA,NA,0.673756954801111,-1.01609108550795,6,-86.6704977720548,185.843989556086,3.83363341885902,0.00522889639887192
"2568",-5.3639894591815,-0.418150919257467,1.26184022499745,0.596965360248126,NA,NA,NA,NA,NA,NA,0.645262584229893,NA,-1.00061132429841,6,-86.6819969366387,185.866987885254,3.85663174802696,0.00516911284780274
"3784",-8.39330291628567,-0.286085494308896,1.15862023143316,0.572357992116799,NA,NA,NA,-0.767038131127727,0.65138667062986,NA,0.575732299605869,0.856275114651473,-1.10260974401483,9,-83.4078355726883,185.913232120986,3.90287598375986,0.00505096321003387
"4039",-8.40796423503866,NA,1.1555427573179,0.563663573278976,NA,NA,NA,-0.721683463109543,0.794899477669575,-0.0696143810999448,0.570582878336334,0.857955446691579,-1.07253491974397,9,-83.4100846493792,185.917730274368,3.90737413714169,0.00503961597159943
"2583",-4.70992925930616,NA,1.19935159620536,0.601604097833351,NA,-0.239036154305238,NA,NA,NA,NA,0.611321124660386,NA,-0.967377202558041,6,-86.7370090625388,185.977012137054,3.96665599982705,0.00489242921307351
"3791",-8.85358099261308,NA,1.21565655113278,0.564283196572096,0.0696470580523949,NA,NA,-0.830954092526175,0.55483437059509,NA,0.567937872120053,0.870297109941707,-1.06741340791816,9,-83.476622415705,186.05080580702,4.04044966979313,0.00471520369550157
"2640",-5.62646412628992,-0.211548190986083,1.24981766915795,0.575736817432524,0.0700188362849834,NA,NA,-0.757112861630144,NA,NA,0.492260092556996,NA,-0.931078173192795,8,-84.5982298292072,186.069186931142,4.05883079391515,0.00467206685285666
"3592",-8.42366680342784,-0.441951522915277,1.2120302110807,0.576227065633168,NA,NA,NA,NA,NA,NA,0.694427805768762,0.89754519123884,-1.11555564788486,7,-85.7064393147551,186.087577424691,4.0772212874644,0.00462930295879256
"2695",-5.69506265956313,NA,1.29402567049512,0.603801766364676,NA,NA,NA,NA,0.558972148627444,NA,0.699112707585843,NA,-1.01279878150467,6,-86.8047265725032,186.112447156982,4.10209101975582,0.00457209462231094
"3815",-9.32115766522917,NA,1.11930890302943,0.56061206686113,NA,NA,0.604407783453767,-0.814934431094538,0.567661998499928,NA,0.57417001595747,0.856646676223866,-1.09028734877696,9,-83.5155628977023,186.128686771014,4.11833063378776,0.00453512041119458
"2671",-6.71796589819845,NA,1.19749710836537,0.569831533398105,0.0684621711575042,NA,0.713490750242706,-0.7977118742382,NA,NA,0.495093474918002,NA,-0.923924628985588,8,-84.6287383602281,186.130203993183,4.11984785595683,0.00453168132321101
"2664",-6.24124227255413,-0.198282309108615,1.1478178982038,0.572307582395069,NA,NA,0.671027141926736,-0.745406267575511,NA,NA,0.498540301546638,NA,-0.955961515632569,8,-84.6318902169248,186.136507706577,4.12615156935041,0.00451742059877039
"2648",-5.57292981231029,-0.241434759001103,1.23498841101418,0.571270347949512,NA,0.0973178959809266,NA,-0.782671578634314,NA,NA,0.507098642056237,NA,-0.967488135280453,8,-84.6417948097057,186.156316892139,4.14596075491218,0.00447289823921336
"3799",-8.40128462170497,NA,1.16421927049707,0.565825497092233,NA,-0.017922297130667,NA,-0.801898461343462,0.581591908171826,NA,0.5715623960237,0.85945370402879,-1.0923610914391,9,-83.5522228795526,186.202006734715,4.19165059748849,0.00437187357487335
"2895",-5.65374853950205,NA,1.25393807045476,0.571891568030774,0.0674696210842719,NA,NA,-0.769965702404651,NA,-0.0158130877119446,0.489544196382698,NA,-0.919641420655287,8,-84.6728004937434,186.218328260214,4.20797212298746,0.00433634093577699
"2888",-5.27956102179535,-0.204548469617547,1.20599876412325,0.576402978714001,NA,NA,NA,-0.744960587625176,NA,0.00414253011327345,0.496870306668241,NA,-0.960236594897505,8,-84.6789437405999,186.230614753927,4.22025861670048,0.00430978338128341
"2655",-5.74230758821831,NA,1.26344367752234,0.571916813124169,0.0628881399834057,0.0252380064319309,NA,-0.803047319014975,NA,NA,0.495658792597948,NA,-0.930917097918209,8,-84.6798500056171,186.232427283962,4.222071146735,0.00430587934468607
"2679",-6.51450398025068,NA,1.1730015449701,0.566704626041508,NA,0.0563493090361166,0.691758451808669,-0.807343372705592,NA,NA,0.505446836276528,NA,-0.954396255195416,8,-84.6921959930136,186.257119258754,4.24676312152789,0.00425304582463932
"2919",-6.33896236178602,NA,1.14787739846008,0.56817511753987,NA,NA,0.718540554299966,-0.75444480609013,NA,-0.017519055304225,0.495935353325294,NA,-0.941833505276843,8,-84.6942752985473,186.261277869822,4.25092173259529,0.00424421163059824
"2951",-5.49888156995476,NA,1.22772002013775,0.605868580360423,NA,NA,NA,NA,1.15158200666666,-0.166788377616995,0.654462956141801,NA,-0.973356163810563,7,-85.7976069457203,186.269912686621,4.25955654939474,0.00422592713487372
"3607",-7.72080365924233,NA,1.15076275278504,0.57874289886375,NA,-0.238024693611986,NA,NA,NA,NA,0.66141202814819,0.885482075708799,-1.08633654124005,7,-85.8035475882961,186.281793971773,4.27143783454628,0.00420089683386261
"3664",-8.8312190051718,-0.229114814420268,1.20593584357097,0.551216240837164,0.0784963330205129,NA,NA,-0.770643224642865,NA,NA,0.542796757527127,0.92645177403045,-1.04414869568808,9,-83.6009569493267,186.299474874263,4.28911873703666,0.00416392268510135
"2903",-5.54966245453926,NA,1.23390374999916,0.56725811470098,NA,0.0799616756331917,NA,-0.781392952734029,NA,-0.0234872268474038,0.501006996458392,NA,-0.94881200440202,8,-84.7249775322662,186.32268233726,4.31232620003314,0.00411588489211896
"3672",-8.76449779292055,-0.26543455887424,1.18939142798644,0.545981607494072,NA,0.114715428519117,NA,-0.800405422034137,NA,NA,0.560289415226662,0.922527474229705,-1.08526628402524,9,-83.6495381400236,186.396637255657,4.38628111843045,0.00396646945277109
"3695",-9.81813693264455,NA,1.16003945729751,0.544599758799118,0.0767916215627875,NA,0.655298586210598,-0.813657773276292,NA,NA,0.544180500635702,0.919158487958292,-1.03869289672347,9,-83.6524513380094,186.402463651629,4.39210751440208,0.00395493115678097
"3688",-9.23958374978955,-0.213343698266932,1.10529936511033,0.547943318788766,NA,NA,0.593928243280113,-0.753896886578382,NA,NA,0.548544922416122,0.912653574316386,-1.07232341112665,9,-83.6639148633863,186.425390702382,4.41503456515579,0.00390985257648212
"3919",-8.86534936875741,NA,1.20992245094993,0.545162383101851,0.0765399211781246,NA,NA,-0.775641823818764,NA,-0.0234553841627941,0.538645554109932,0.930050751776438,-1.03099553545109,9,-83.675895822852,186.449352621314,4.43899648408723,0.00386328829065516
"3679",-8.95789176467557,NA,1.22153320443926,0.546104075958619,0.0699079060874439,0.0339564495994353,NA,-0.824220992725066,NA,NA,0.546961569394832,0.924149435884545,-1.04688160005778,9,-83.6920078579928,186.481576691595,4.47122055436881,0.00380154162197346
