"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(latitude)","log(longitude)","log(nearest_W)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"6493",-19.8741670340427,NA,NA,0.135826288948654,-17.3577542647522,20.2478181361907,NA,0.132707984975097,NA,-0.73409179269371,NA,NA,0.516423694397624,-0.722821237371867,NA,8,-61.0833536986369,139.039434670001,14.1321760233236,4.44460181716467e-06
"13996",143.990646993734,0.983521349405881,1.55361918181337,NA,-39.6056714275414,NA,0.0492269775447222,NA,-0.66168171750715,NA,-1.06746761115641,-0.0610865578634545,NA,-1.05477612234842,-0.44251163882341,10,-58.8450646433493,139.039822538232,14.1325638915548,4.44373994081838e-06
"10589",7.48213244247541,NA,NA,0.139905379638552,-14.2684194377158,10.5698464671464,NA,0.188173003707212,NA,-0.759585182346599,NA,NA,0.546748844138131,NA,-0.427303879464034,8,-61.0838923800056,139.040512032738,14.1332533860609,4.44220823772089e-06
"13431",3.9516785361552,NA,1.49225637271323,0.349598400940958,NA,-2.19790416678279,0.0821489815769235,-0.132763542720487,NA,NA,NA,-0.0189113649053132,NA,-1.01014924263967,-0.554068526558551,9,-59.9718830144197,139.041327004449,14.1340683577716,4.44039846945004e-06
"4847",82.0313894916943,NA,1.5211756267178,0.285576643154904,-22.7074789209045,NA,0.12362831773615,-0.0802385409423611,-1.39172964872216,NA,-0.923664511880307,NA,NA,-1.12826457288772,NA,9,-59.9718858936148,139.041332762839,14.1340741161617,4.44038568469502e-06
"7958",-110.899250789448,0.849993972687753,NA,0.181969339995577,NA,26.4180804452638,NA,NA,NA,-0.877964796437876,-0.827575487062028,0.0296789286373536,0.47218806980868,-0.691507859813284,NA,9,-59.9719428864386,139.041446748487,14.1341881018095,4.44013262178722e-06
"3897",79.7246948391361,NA,NA,NA,-25.008209719194,3.2040383317134,-0.0205876814177913,NA,NA,-0.777024652004889,-1.1654349311357,0.131762033988217,0.501808605552491,NA,NA,8,-61.0846718069049,139.042070886537,14.1348122398595,4.43874721011235e-06
"6642",-81.6762081256346,0.907583933187227,NA,NA,NA,18.8798689853909,-0.107921166784444,0.0212741143378034,1.9272022520828,-0.891900225758741,NA,NA,0.475525619219251,-0.759257157682256,NA,9,-59.9724675087933,139.042495993196,14.1352373465187,4.43780383987523e-06
"5792",110.124524776795,1.07211701443982,1.60520268641503,0.272525348063066,-28.9808451514105,-1.28940358516711,NA,NA,-1.0177700263442,NA,-0.92346825313453,-0.0968785772671809,NA,-1.2001255270211,NA,10,-58.8470851175618,139.043863486657,14.1366048399798,4.43477054313046e-06
"4017",-25.9399941766458,NA,NA,NA,NA,5.53225356762422,-0.0620854570749165,NA,1.33424824008609,-0.757944877947391,-0.992943553325595,0.0965439569908583,0.482524051936681,NA,NA,8,-61.0858214690492,139.044370210826,14.1371115641481,4.43364708275006e-06
