"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"12960",-3.48403206854135,0.25389865877705,2.83963133207412,0.845317691972431,-0.029563358749308,0.30966830790783,NA,NA,0.701994619111893,NA,-0.286969833731141,NA,NA,-0.471321399672011,-0.677530100927013,10,-76.3575247046843,174.064742660902,15.1811194655654,3.12322378597538e-06
"16223",-3.49180848909702,NA,3.02018480018945,0.730192822351881,-0.261119725168814,0.283751408069144,NA,0.145237968491458,NA,-2.46773290842481,-0.987077497922555,1.52690777214905,1.33362223698756,-0.356722453100645,-0.796535306906576,12,-74.0634404047311,174.06476900822,15.1811458128831,3.12318264196178e-06
"1133",-1.0023938067025,NA,NA,0.299648554355306,-0.146935200263715,NA,-0.39791247457496,-0.149183850113692,NA,NA,NA,0.349708965446407,NA,NA,NA,6,-80.7814804962105,174.065955004397,15.1823318090602,3.12133114964491e-06
"9212",-2.69354092288789,0.283483277312535,2.58785737556412,NA,-0.188538808042698,0.307572047458893,-0.128802047976215,0.195437334010293,1.01202856269638,-2.50191021475508,-0.64241820030939,NA,NA,NA,-0.669718826200294,11,-75.2182082620015,174.066046153633,15.1824229582957,3.12118889941244e-06
"9290",-0.842650045691205,-0.0128315188492659,NA,NA,-0.316058823441094,NA,NA,-0.146708751819507,NA,NA,NA,0.404222167834554,NA,NA,-0.383921128494196,6,-80.78157785622,174.066149724416,15.1825265290792,3.12102727160749e-06
"13385",-0.829419431345713,NA,NA,NA,-0.317939839326471,NA,NA,-0.147635914470698,NA,NA,NA,0.397716318958993,NA,-0.0199852570133346,-0.379756760058398,6,-80.7816692730046,174.066332557985,15.1827093626484,3.12074197037058e-06
"11999",-4.77064607718427,NA,2.71513059558108,0.774691290710928,-0.235262962986329,0.0848801547227711,NA,0.0589850464707006,0.650177458862356,NA,-0.597306274010041,0.936881621584356,2.1157717398072,NA,-0.857023364061195,11,-75.2185268991035,174.066683427837,15.1830602324998,3.12019453125618e-06
"5705",-0.770281488532097,NA,NA,NA,-0.373881435967562,NA,NA,-0.141009773988125,NA,NA,-0.588437106831131,0.594758649301726,NA,-0.0808099733145828,NA,6,-80.7824744567407,174.067942925458,15.1843197301207,3.11823021104091e-06
"3802",-3.8859906845151,0.0718517720888994,NA,NA,-0.308048904957392,0.45537894373606,NA,-0.00494064580157979,1.85507700579294,NA,-0.417396311057989,0.519790341124692,2.59372194291023,NA,NA,9,-77.4854098040184,174.068380583647,15.1847573883097,3.11754792620193e-06
"15081",-3.5770414966502,NA,NA,NA,-0.272906103961699,NA,-0.420185111658788,0.0483688762238352,2.1455401663514,NA,-0.128751245663871,NA,2.69741040520103,0.0418385421528527,-0.542476028384983,9,-77.4861161403699,174.06979325635,15.1861700610128,3.11534666628049e-06
