"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1276",-0.552552154768056,0.227075744161511,0.00353818424484022,NA,0.000271478306868242,0.110575676248354,-0.488586177473701,-0.132387146339259,-0.000328435735450029,NA,NA,-0.133740674237193,9,-175.304244066638,369.706049108886,9.43690010227982,0.000270030658643563
"1404",-0.550294632634938,0.218630118747705,0.00354538440337805,NA,0.00035894659044224,0.110166059652119,-0.48875275198286,-0.137384313090474,NA,0.0346895775311544,NA,-0.134839438272444,9,-175.306063591096,369.709688157802,9.44053915119588,0.000269539777975863
"700",-0.665075769262816,0.270322048125439,0.00349391033779813,NA,-0.00341851341338835,0.102372521105406,-0.490044221152255,NA,-0.0015882691185847,NA,-0.00242940786000064,NA,8,-176.441424068525,369.755575409777,9.48642640317109,0.000263425962860304
"948",-0.736417150827127,0.248323779756978,0.00350882950511907,NA,NA,0.108895518203559,-0.495345425094394,NA,-0.00168669694026762,0.075374474813892,-0.00249165817654724,NA,8,-176.452338085384,369.777403443495,9.50825443688888,0.000260566559631377
"1912",-0.627171451726778,0.253040153082783,0.00369187892840382,0.0139400019362181,NA,0.1076471015559,-0.497848771326585,-0.106769470376838,NA,0.0872139822367851,-0.00188434964639263,-0.15272096188351,10,-174.265893082375,369.881479416285,9.61233040967858,0.000247353960528329
"1784",-0.595266346239932,0.249531567973451,0.00372405340066547,0.0138254907609493,NA,0.105733239498341,-0.502737782686351,-0.112989282769576,9.60689250223832e-05,NA,-0.00187222510254539,-0.15302865908399,10,-174.281349023902,369.912391299338,9.64324229273188,0.000243560265265557
"1664",-0.59743909488492,0.253081928898835,0.00371702367190261,0.0138027328510182,-0.000176395744634289,0.105834852379206,-0.501699915305799,-0.110433790085383,NA,NA,-0.001875123120061,-0.152570871096449,10,-174.28165306845,369.912999388433,9.64385038182735,0.000243486223351449
"444",-0.764277939377978,0.264153991192573,0.00343443065115731,NA,-0.00355454368140373,0.0973856411416439,-0.48819606635885,NA,-0.00163603990788635,0.0646099818084101,NA,NA,8,-176.522683281764,369.918093836255,9.64894482964871,0.000242866798663016
"1972",-0.703160349428982,0.223394263468019,0.00354135141345581,NA,NA,0.110472820793262,-0.489779912609433,NA,-0.000840917983285109,0.0597856863247407,-0.000868342550483557,-0.136161299816762,9,-175.421138384177,369.939837743964,9.67068873735758,0.000240240663512508
"1724",-0.660185431667324,0.234940091833371,0.00354070803397322,NA,-0.00179987431609592,0.106595391631541,-0.487993729805619,NA,-0.000800233552111111,NA,-0.000849934854737578,-0.13565895506906,9,-175.42239206383,369.942345103269,9.67319609666305,0.000239939667396679
"1468",-0.704052559245687,0.232063292526813,0.00351242013858698,NA,-0.00165089600331064,0.10580912733125,-0.486018756046027,NA,-0.000799926189104463,0.0538264817633217,NA,-0.13815133204186,9,-175.426926995732,369.951414967074,9.68226596046804,0.000238854020871439
"748",0.136867775181904,0.243791951219236,0.00370858109565,NA,-0.00278513576443925,NA,-0.483978408776011,-0.146540444395504,-0.000631009384897185,NA,-0.00158648188193148,NA,8,-176.546701030967,369.966129334662,9.69698032805559,0.00023710317647949
"828",-0.63533783488189,0.2281825063687,0.00355986399664123,NA,-0.00411987053830182,0.0945153042376324,-0.494523981838505,NA,NA,0.0607719428189806,-0.00248355317827944,NA,8,-176.548869965152,369.970467203031,9.70131819642489,0.00023658947259108
"1528",-0.669447342538413,0.244525353220926,0.00366499333251337,0.0134719002115641,NA,0.102548513237342,-0.499025579173696,-0.114896077902372,0.000111823283577573,0.0859311579416723,NA,-0.15818275116535,10,-174.31572060646,369.981134464454,9.71198545784836,0.000235330950942348
"1408",-0.674934767788331,0.246852265405704,0.00365962862032482,0.0134437570831574,6.5132654609731e-05,0.103069788358797,-0.498548875080843,-0.112996092387925,NA,0.086452330241698,NA,-0.157764562842757,10,-174.316196085764,369.982085423063,9.71293641645656,0.000235219082543223
"1852",-0.655199004561581,0.213746390831372,0.00356831233239983,NA,-0.00193356779012223,0.103830199383947,-0.490137997577024,NA,NA,0.0520611224048625,-0.000826008663812864,-0.139324079205652,9,-175.444061236541,369.985683448693,9.7165344420867,0.000234796300808284
"996",0.132544499664349,0.223929793372914,0.00374154681542212,NA,NA,NA,-0.490326334592184,-0.157997738070984,-0.000639074280546342,0.0175662303053569,-0.00159713857419626,NA,8,-176.560773458892,369.994274190511,9.72512518390533,0.000233789926530892
"876",0.148601921838777,0.228648224986132,0.00373410595695744,NA,-0.00277687457114504,NA,-0.486572469936367,-0.161109021531136,NA,0.00797593989127313,-0.00156981260867113,NA,8,-176.564303172311,370.00133361735,9.73218461074396,0.000232966169757841
"1280",-0.638375300141397,0.244850200410611,0.00368959222365515,0.0133426071767659,-0.000262772239804427,0.100592826449341,-0.50267473345835,-0.118367985810481,0.000125487707774271,NA,NA,-0.158018409253309,10,-174.330912430795,370.011518113124,9.7423691065178,0.000231782863673145
