"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_SP","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1797",-3.29885104367388,NA,NA,0.443608960850901,NA,NA,NA,NA,NA,-0.379961284967691,0.531628460538432,3.07152899423136,NA,NA,5,-78.747111514867,167.851365886877,8.96774269154008,9.85361715142194e-05
"1130",-3.63314465021101,0.192655504796709,NA,NA,-0.239429955217155,NA,-0.376083430318621,2.04045310726263,NA,NA,NA,2.69412313706945,NA,NA,6,-77.6745149709752,167.852023953927,8.96840075858964,9.85037551437167e-05
"5266",-2.05335935070803,0.302939559382587,NA,NA,NA,0.789414675382234,NA,NA,-1.611258156574,NA,NA,1.86074381023735,NA,-0.408107807406795,6,-77.6764188464581,167.855831704892,8.97220850955546,9.83163946714233e-05
"3681",-3.72401821254625,NA,NA,NA,NA,NA,-0.522537806680221,1.8979217008109,NA,NA,0.363059636158248,2.83103347643173,-0.122369148185491,NA,6,-77.6773503967161,167.857694805408,8.97407161007141,9.82248506541506e-05
"1381",-3.87429712258075,NA,NA,0.440370439922777,NA,NA,-0.403572362232546,1.98100268310895,NA,-0.0535231747748893,NA,2.67516666195122,NA,NA,6,-77.6778485880539,167.858691188084,8.97506799274697,9.81759280718148e-05
"4809",-1.42253922805046,NA,NA,NA,-0.416210165220826,NA,NA,2.10916806452001,-2.61393881491621,NA,0.707774872020581,NA,NA,-0.588570929224832,6,-77.6789980143244,167.860990040625,8.97736684528803,9.80631469101875e-05
"4392",-3.29347191133097,0.240430022120014,3.16070143362583,0.825783906312194,NA,NA,-0.0442041579409006,NA,NA,-0.33004471612027,NA,NA,NA,-0.741471035688979,7,-76.593703691272,167.862106177725,8.97848298238776,9.8008436219574e-05
"5381",-3.00403441195437,NA,NA,0.486767920375331,NA,NA,NA,NA,NA,0.0149097602173251,NA,2.88188167125052,NA,-0.449938012492927,5,-78.7528101755139,167.862763208171,8.9791400128338,9.79762442443582e-05
"4368",-3.30018575251597,0.241146372719107,3.16523720676986,0.821154848463638,-0.0284131483602972,NA,NA,NA,NA,-0.333769901930821,NA,NA,NA,-0.738075450005098,7,-76.5941027523945,167.86290429997,8.97928110463289,9.79693326658684e-05
"7489",-3.72538009593712,NA,NA,NA,NA,NA,NA,2.10019606830201,NA,-0.0407923151271911,NA,2.57894114398616,0.100034872758059,-0.504418313457497,6,-77.6819703377044,167.866934687385,8.98331149204802,9.77721042765958e-05
"4313",-1.81099459189828,NA,NA,NA,-0.0390799170728414,0.682642776832932,NA,1.88139142633747,-2.07455241226201,NA,NA,NA,NA,-0.477911371744624,6,-77.6832162389809,167.869426489938,8.98580329460094,9.76503657399219e-05
"2772",-2.469489091407,0.215271304847646,2.49944361988386,NA,NA,0.41299804445984,NA,0.558605879168431,-2.41060547090698,NA,0.962953362128446,NA,-0.654619275082336,NA,8,-75.4996940910166,167.87211545476,8.98849225942354,9.75191647591968e-05
"218",-1.94156155864461,0.318020023627269,NA,NA,-0.0694468620439072,0.736649503416181,NA,1.87710905371648,-2.3579349893821,NA,NA,NA,NA,NA,6,-77.6853699076975,167.873733827371,8.99011063203412,9.74402855048807e-05
"6344",-2.67054104587906,0.427807198004337,2.60577041393237,0.781883456778865,NA,NA,NA,0.856028326715023,-1.84291955944119,NA,NA,NA,-0.387237764906507,-0.653091069507145,8,-75.5022810470921,167.877289366912,8.99366617157469,9.726721299802e-05
"2145",-2.36595129526121,NA,NA,NA,NA,NA,-0.422534431022276,2.28344811153516,NA,NA,NA,NA,-0.343876322538423,NA,4,-79.8203931677077,167.877472725948,8.99384953061104,9.72582959955573e-05
"4915",-3.00536430251386,NA,3.02210425906544,NA,NA,0.261815993495725,-0.125174718845363,NA,NA,-0.803193821163556,0.856115860052956,NA,NA,-0.713581307759186,7,-76.6016728485412,167.878044492263,8.99442129692619,9.72304954608395e-05
"3272",-3.4014653177198,0.440154890933821,2.2647506908932,0.673914241702889,NA,NA,NA,0.888194907817795,-1.44392320629932,NA,NA,1.23082061290069,-0.442846320888337,NA,8,-75.5032575104093,167.879242293546,8.99561909820903,9.7172281488675e-05
"1610",-3.90852516325519,0.0892960932986508,NA,NA,-0.407680141858292,NA,NA,2.08736804139071,NA,NA,0.310353894090236,2.77615537931788,NA,NA,6,-77.6887197885858,167.880433589148,8.99681039381079,9.71144182676609e-05
"2001",-2.92151655094723,NA,NA,NA,NA,0.641580936452464,NA,1.55475110925899,-1.99655991741426,-0.619780591203671,1.07271984217637,1.84417204154827,NA,NA,7,-76.603634315601,167.881967426383,8.99834423104591,9.7039967964569e-05
"609",-2.4613356641366,NA,NA,NA,NA,NA,-0.349051664102011,2.26694516544541,NA,NA,-0.242917119181422,NA,NA,NA,4,-79.8235478476558,167.883782085844,9.00015889050735,9.69519606484312e-05
"3371",-3.36211770527428,NA,2.37765780220879,NA,-0.0366199908291406,NA,-0.133444208620622,NA,NA,0.0154382298469233,NA,1.6983893956749,-0.286414668904054,NA,7,-76.6052480597655,167.885194914712,9.00157171937482,9.68834965689042e-05
"2261",-2.02994274139185,NA,NA,0.439407630350869,NA,0.823333874893414,NA,1.84879307253014,-2.08571817856253,NA,NA,NA,-0.508259974685725,NA,6,-77.6921004234778,167.887194858932,9.00357166359478,9.67866641973223e-05
"3657",-3.82682325235028,NA,NA,NA,-0.423617513144834,NA,NA,2.08155195875566,NA,NA,0.388726119204823,2.75257993038635,-0.142920765854844,NA,6,-77.6923093529061,167.887612717788,9.00398952245129,9.67664447272037e-05
"1339",-3.59746609609207,NA,2.23990202732914,NA,0.0577466764735938,0.229636594370012,-0.142998577816386,NA,NA,-0.0102269049645166,NA,1.71185725221237,NA,NA,7,-76.6068769188785,167.888452632938,9.00482943760079,9.67258154576408e-05
"4884",-3.07813081031654,0.0399275052458035,3.05380026802231,NA,NA,0.261111309499141,NA,NA,NA,-0.801715268514698,0.813672876354152,NA,NA,-0.69840837854827,7,-76.6072099303839,167.889118655948,9.00549546061157,9.6693610010915e-05
"4312",-2.85708070408065,0.42438678469519,2.44459748371831,0.75483467418561,NA,0.280110568995544,NA,0.783691897117367,-1.86397823780046,NA,NA,NA,NA,-0.692499597960409,8,-75.5111369073288,167.895001087385,9.01137789204793,9.64096310716823e-05
"4993",-0.241989908124507,NA,NA,NA,NA,NA,NA,NA,-2.86886458283202,-0.834320267761669,1.05176341860475,NA,NA,-0.458648866955067,5,-78.7713110676213,167.899764992385,9.01614179704862,9.61802611924206e-05
"1174",-2.52384334797074,0.290829545622887,NA,0.481053995030032,NA,0.842569275317203,NA,NA,-1.58401120603387,NA,NA,1.91570631533945,NA,NA,6,-77.6987294390878,167.900452890152,9.01682969481482,9.61471857874576e-05
"6947",-2.82307284973128,NA,3.19482113874153,NA,NA,NA,-0.137984039898848,NA,NA,-0.771103762316792,0.86256021695831,NA,-0.296416126930126,-0.689965485030089,7,-76.6140196219576,167.902738039096,9.01911484375913,9.6037393202454e-05
"4207",-3.58962121856408,NA,2.84139919518967,0.798005297928542,-0.035262026836843,NA,0.0206165788904382,0.740541623558988,NA,NA,NA,NA,NA,-0.775520234503337,7,-76.6142966957625,167.903292186706,9.01966899136892,9.6010787442557e-05
"7809",-2.08920452457794,NA,NA,NA,NA,NA,NA,NA,-2.00634655570747,NA,0.949114170523801,2.372634798338,0.154517220262441,-0.542535461810682,6,-77.7002174667086,167.903428945393,9.01980575005646,9.60042225123719e-05
"696",-2.94437551711162,0.174528696526942,2.7073239356828,0.648456907879744,NA,0.378033579728044,-0.0545594695918206,NA,-2.37891290523377,NA,0.990941223892757,NA,NA,NA,8,-75.515632127111,167.903991526949,9.02036833161247,9.59772212077166e-05
"1606",-4.34316564761393,0.0695397461691715,NA,0.471327592559181,NA,NA,NA,2.05638341557923,NA,NA,0.228787007790368,2.8381869975816,NA,NA,6,-77.7008054715988,167.904604955174,9.02098175983679,9.5947788153524e-05
"1749",-3.50685905148228,NA,NA,0.487994867925308,NA,0.663523640635724,NA,1.57766308179056,-1.87524835441926,NA,0.836244193506522,2.02600475210454,NA,NA,7,-76.6151756170747,167.90505002933,9.02142683399333,9.59264385887046e-05
"5269",-2.38359307876516,NA,NA,0.546171531016233,NA,0.790240899041357,NA,NA,-1.36515579147753,NA,NA,1.87153467187488,NA,-0.440543103850548,6,-77.7014906009086,167.905975213793,9.02235201845639,9.58820740255575e-05
"7367",-3.37514748106279,NA,2.22895714080457,0.785950796897074,NA,NA,NA,0.894525257033136,-1.09106943165637,NA,NA,1.21980648010955,-0.220225621487015,-0.676387155670451,8,-75.5168018553391,167.906330983405,9.0227077880686,9.58650195783189e-05
"672",-2.9929208245867,0.172390001873227,2.71862078917394,0.659041663328646,0.0171739174417566,0.385107094211382,NA,NA,-2.37667800098209,NA,0.985445863940555,NA,NA,NA,8,-75.5169653967122,167.906658066152,9.02303487081477,9.58493429633089e-05
"3653",-4.29268503057241,NA,NA,0.491740199979742,NA,NA,NA,2.05194567984218,NA,NA,0.288040709837837,2.82188148365751,-0.120023618464946,NA,6,-77.7019692968067,167.906932605589,9.02330941025249,9.58361866539492e-05
"5335",-3.49272861369852,NA,2.13038787494214,0.771447894486432,NA,0.171857071542375,NA,0.8595375962017,-1.09854209083174,NA,NA,1.22145704492402,NA,-0.694172329790438,8,-75.5171149160855,167.906957104898,9.02333390956133,9.58350127009722e-05
"5857",-2.62702517623507,NA,NA,NA,NA,NA,-0.541452789286132,1.74825191495941,-1.86666917055129,NA,0.899706746579352,2.20478747850485,NA,-0.583689927147151,7,-76.6181424192855,167.910983633752,9.02736043841489,9.5642265569637e-05
"1321",-2.52544834986225,NA,NA,NA,-0.0429401544744067,NA,-0.624861197062547,NA,NA,-0.0278369092212154,NA,2.82701212370269,NA,NA,5,-78.777682305949,167.912507469041,9.02888427370402,9.5569421793936e-05
"2887",-3.54935578555947,NA,3.07360324217849,0.743273983067994,NA,NA,NA,0.475249815793623,NA,-0.697038606108154,0.731941329543089,NA,-0.584386942430451,NA,7,-76.6189808544864,167.912660504154,9.0290373088167,9.55621093350891e-05
"3113",-2.55515474389348,NA,NA,NA,-0.0407417721217309,NA,-0.625535818671819,NA,NA,NA,NA,2.83838290254902,0.023278174864064,NA,5,-78.7777973538457,167.912737564834,9.02911436949734,9.5558427365429e-05
"3361",-2.56005422377856,NA,NA,NA,NA,NA,-0.639596275865582,NA,NA,-0.0301434398632343,NA,2.8373003146442,0.0316494019109667,NA,5,-78.7785980601707,167.914338977484,9.03071578214744,9.54819437527681e-05
"1378",-3.62414094105117,0.187548818940281,NA,NA,NA,NA,-0.471071838182091,1.98603992800675,NA,-0.125544806394605,NA,2.69416418298016,NA,NA,6,-77.7066059092584,167.916205830493,9.03258263515596,9.53928599588462e-05
"1777",-2.97462933194405,NA,NA,NA,NA,0.615925842041781,-0.456843504089143,1.4723451899201,-1.8757640786308,NA,0.903826967190107,2.0443455967711,NA,NA,7,-76.6210808195262,167.916860434233,9.03323723889616,9.53616428063822e-05
"1925",-2.1878948409245,NA,NA,0.409166808801894,NA,NA,NA,NA,-2.02742026850765,-0.64726749206915,1.12709255939407,2.2990975026635,NA,NA,6,-77.7070208860926,167.917035784161,9.03341258882446,9.53532823442749e-05
"6916",-2.90684502439524,0.0404620068609652,3.22817577754055,NA,NA,NA,NA,NA,NA,-0.771353230152486,0.820692530597699,NA,-0.288611442559681,-0.675073857758692,7,-76.6212063177248,167.91711143063,9.03348823529345,9.53496758429224e-05
"5762",-2.00057458156498,0.0429006154813898,NA,NA,NA,NA,NA,NA,-2.02269855329352,NA,0.920200293839543,2.35698217417202,NA,-0.518835247650723,6,-77.7073293878572,167.91765278769,9.03402959235351,9.53238702254973e-05
"3170",-3.62105138716444,0.181565442029358,NA,NA,NA,NA,-0.486744350026481,1.99163696896154,NA,NA,NA,2.71659496051716,-0.116238881715313,NA,6,-77.7075504831809,167.918094978338,9.03447178300092,9.5302796893246e-05
"4769",-0.140617218142325,NA,NA,NA,NA,NA,-0.667243850800903,NA,-2.81551305190392,NA,0.776531272533028,NA,NA,-0.543893547309748,5,-78.7813300112828,167.919802879708,9.03617968437158,9.52214477435502e-05
"101",-2.69224802774654,NA,NA,0.243399059041118,NA,NA,-0.368669764143992,2.26258611209524,NA,NA,NA,NA,NA,NA,4,-79.8419276078398,167.920541606212,9.03691841087533,9.5186282934657e-05
"3149",-3.92907319857444,NA,NA,0.426258860755243,-0.270344217067517,NA,NA,2.14083736742763,NA,NA,NA,2.61203155275417,-0.146623830870088,NA,6,-77.7099560583775,167.922906128731,9.03928293339411,9.5073814376628e-05
"759",-3.08156240717315,NA,2.56454978609209,0.632133456441594,NA,0.33775956217981,-0.0143298697519117,0.39416355412705,-2.33862872959367,NA,1.07028186451099,NA,NA,NA,8,-75.5283001642419,167.929327601211,9.04570440587412,9.47690469610424e-05
"735",-3.08313753691387,NA,2.56692480746568,0.630123423731231,-0.0128564688915406,0.333033093271596,NA,0.399579741720809,-2.33822497080447,NA,1.07105467771986,NA,NA,NA,8,-75.5283044035658,167.929336079859,9.04571288452192,9.47686452052083e-05
"581",-2.82181443782116,NA,NA,0.27916965018628,NA,NA,NA,2.37036633613733,NA,NA,-0.281755138369693,NA,NA,NA,4,-79.8464044255806,167.929495241694,9.04587204635695,9.4761103729554e-05
"5575",-3.52692041764349,NA,2.200591974062,0.772571526471553,NA,NA,NA,0.885414422531087,-1.09914545952048,0.117266585462238,NA,1.289637529987,NA,-0.712931357977973,8,-75.5300610237873,167.932849320302,9.04922612496503,9.46023188155906e-05
"1357",-3.94854836522901,NA,NA,0.409734359151631,-0.258627710505644,NA,NA,2.12254861606208,NA,-0.0921321529807812,NA,2.60199177733063,NA,NA,6,-77.715388083644,167.933770179264,9.05014698392722,9.4558771145113e-05
"4833",-1.32583733991675,NA,NA,NA,NA,NA,-0.409779379045223,1.96093548271137,-2.6290160061507,NA,0.660656786169024,NA,NA,-0.585592943869581,6,-77.7156304331289,167.934254878234,9.05063168289695,9.45358576522853e-05
"5297",-1.81964560321486,NA,NA,NA,NA,0.705732034034604,-0.492879005485732,NA,-1.32669555441682,NA,NA,1.85987561204219,NA,-0.414142103517724,6,-77.7164752348696,167.935944481715,9.0523212863784,9.44560273203292e-05
"5327",-3.49705551226365,NA,2.21016263939346,0.780752221386992,0.0514758314720362,NA,NA,0.874057682360769,-1.09386324330133,NA,NA,1.25794400042091,NA,-0.705139101379223,8,-75.5338925135316,167.94051229979,9.0568891044536,9.42405445111116e-05
