"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1001",-0.954577022504528,NA,NA,NA,-0.703664690646212,NA,0.768501010284635,0.737642309098761,1.6297312367371,-4.00909194812327,-1.51477296342321,NA,NA,NA,7,-62.5631010529499,139.792868772567,13.4096826113924,1.68107782953804e-05
"6008",-2.91450308622211,4.36269536476456,1.03939352298382,0.144212095152016,NA,0.150392110562975,0.985963033357495,0.722170749246304,NA,-4.95580638662815,-1.68860722210968,0.197531737638237,NA,0.0451894892541369,11,-58.0928624382027,139.795480973966,13.4122948127922,1.67888360585875e-05
"3174",-2.72005868334838,3.65208144559194,NA,0.121183323182946,NA,NA,0.421201496358032,-0.96228766804498,NA,NA,NA,-0.161839842940515,-1.39273985920103,NA,7,-62.5649829077394,139.796632482145,13.4134463209712,1.67791725997236e-05
"7055",0.428262613476143,NA,1.09941601001405,0.0475591321869298,-1.09261281397451,NA,NA,NA,1.91409602913621,-4.28260416566784,-1.37708756987184,NA,-1.77213042575597,0.259439453956755,9,-60.3571829906163,139.79870333063,13.4155171694559,1.67618080290472e-05
"6678",-2.9359845773375,3.92032373899901,NA,-0.064930380473469,NA,0.0511631329406822,NA,NA,NA,NA,-1.05981085614274,NA,-1.20768426008403,-0.0245915191375655,7,-62.5661663041436,139.798999274954,13.4158131137797,1.6759327931573e-05
"8046",-1.69113400627574,4.27558025907206,NA,-0.119759310460697,-1.14513866013269,NA,0.753363978374913,1.3108727622663,NA,-4.92156225660466,-2.11941471716026,1.30047882599408,-1.42356251621139,0.0132169761204812,11,-58.0949431285735,139.799642354708,13.4164561935339,1.67539400055927e-05
"7094",-1.71406597960885,4.30890394906783,NA,0.230702942063291,NA,0.0334983517810327,0.745028302174919,NA,-1.2084854655547,-3.55404975065153,-0.764005858585641,NA,-1.15823222200319,0.0903929753085661,10,-59.2335722085161,139.800477750365,13.4172915891913,1.67469433825694e-05
"2280",-2.33038066601407,4.72698192818768,0.779171989619138,0.262873202952225,NA,NA,0.418261416684569,-1.67159557016277,-1.64593236464122,NA,NA,NA,-1.35197924266208,NA,8,-61.4701143745417,139.802504198185,13.4193180370109,1.67299835726111e-05
"3186",-2.68987696545693,3.67891228511706,NA,NA,NA,0.0438644130704153,0.413251701236103,-0.962991389401102,NA,NA,NA,-0.148733639854334,-1.38961764405231,NA,7,-62.5680248500271,139.802716366721,13.4195302055467,1.67282088786873e-05
"7640",-1.83459731891834,4.77130912895194,1.01777170058056,0.323730491759163,NA,-0.096148327733778,NA,0.312004731844216,-1.31935540720947,-4.50030884061018,NA,-0.0414097341256162,-1.33760791995937,0.131097786592574,11,-58.0967169448314,139.803189987224,13.4200038260495,1.67242479363511e-05
"2185",-1.37646510590179,NA,NA,NA,-1.1954581974659,NA,NA,NA,1.95171574272951,NA,NA,NA,-1.93319842416545,NA,4,-65.7848286324537,139.803575393562,13.4203892323882,1.67210254312727e-05
"7266",-2.65820781257395,3.65332620544285,NA,NA,NA,NA,0.415094625593501,-0.961463656607772,NA,NA,NA,-0.150079258315208,-1.40351101010424,0.0182015849835525,7,-62.5687608968822,139.804188460431,13.4210022992568,1.67159006634187e-05
"2144",-2.38044683654634,3.99249222649064,0.815728871943954,0.309370548265069,-0.882157212919906,0.247934719808793,NA,-1.42562250332884,NA,NA,NA,NA,-1.59517525509672,NA,8,-61.4718270676229,139.805929584348,13.4227434231735,1.67013547686716e-05
"4043",0.514247449157552,NA,1.01070736485821,NA,-1.170418443079,NA,NA,0.215075616024643,1.9150455429643,-4.45810608644307,-1.56645840227493,0.278881277148484,-1.76355258398177,NA,9,-60.3615323942836,139.807402137965,13.4242159767905,1.66890624743052e-05
"2230",-2.97797507264664,4.95413324732927,NA,0.118950554075516,NA,0.0242908744873819,-0.033116683698104,NA,-1.78528677176982,NA,NA,NA,-1.33552670603838,NA,7,-62.5706140499179,139.807894766502,13.4247086053283,1.66849522263107e-05
"6310",-2.9609114233702,4.93931093174168,NA,0.118609532022003,NA,NA,-0.0329668325103477,NA,-1.78636012229359,NA,NA,NA,-1.34460048435089,0.0171004094847057,7,-62.5707206680845,139.808108002836,13.4249218416615,1.6683173402124e-05
"6294",-3.0004894547569,4.95149379818466,NA,0.122482822903105,NA,0.0232888192521611,NA,NA,-1.78046060631173,NA,NA,NA,-1.33843686417921,0.0161102378261325,7,-62.5707661006356,139.808198867938,13.4250127067637,1.66824154602135e-05
"6455",0.886040341767803,NA,0.83142986751665,-0.0148430514922181,NA,-1.04665663434812,0.563165529077691,NA,NA,-4.57831780069667,NA,NA,-1.79797557646154,0.115716659782477,8,-61.4734410510668,139.809157551235,13.4259713900613,1.66744207999208e-05
"7497",0.892553044402776,NA,NA,NA,-0.721363258845466,NA,NA,-0.24835133553525,NA,-3.87016011588879,NA,0.460254028140884,-1.82084529767988,0.13534529964556,7,-62.5730661394714,139.812798945609,13.4296127844352,1.66440893494479e-05
"1327",-0.258730382060464,NA,0.977532570159728,0.378667170408022,-0.625866194421956,NA,0.633331532695084,NA,NA,-4.42130920062085,NA,-0.565502294411385,NA,NA,7,-62.5737037766448,139.814074219956,13.4308880587821,1.66334798422287e-05
"5770",-2.83083539850352,4.76071378531758,NA,NA,-0.602886460181006,NA,NA,NA,-1.46570560811159,NA,-1.26215746204746,0.17007269224015,NA,-0.242196124720914,7,-62.5738691205931,139.814404907853,13.4312187466787,1.66307298243529e-05
"2166",-2.73370817380497,3.68251077232578,NA,0.106665279427552,NA,0.0571191802729048,0.41740763012443,-1.08676294291142,NA,NA,NA,NA,-1.40787043975386,NA,7,-62.5742422602484,139.815151187163,13.4319650259892,1.66245253971905e-05
