"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_W","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"6412",-2.28008970721871,0.877151667278195,4.55985499891794,NA,-0.957467671405058,NA,NA,NA,NA,-1.67125646602069,NA,NA,-1.77272834866171,-0.932491178749433,7,-58.7862766363615,132.247252067904,7.53301725600332,0.000153121337393149
"7111",-1.92222436995824,NA,4.76070243730139,1.2674979642328,NA,NA,NA,-0.970204366390286,-3.78045092188046,-1.97826168573078,1.78584888333869,NA,-1.58306830116419,-1.13681162118334,9,-56.5757562977528,132.249073571115,7.53483875921503,0.000152981945374614
"4039",-3.16566802090033,NA,4.15477995892495,1.09810940778871,NA,NA,NA,-1.09347512629605,-3.10612894856189,-1.7693838640961,1.67324743689014,2.13563210337838,-1.60000850301828,NA,9,-56.5763984776914,132.250357930993,7.5361231190922,0.000152883734976079
"7879",-3.8401679470873,NA,4.27331803854447,1.26909730889698,NA,NA,NA,-0.947427345709808,-2.97642470855133,NA,1.27383356543925,2.53242290433099,-1.49117081896221,-1.21978614143087,9,-56.5769341819543,132.251429339518,7.53719452761797,0.000152801856440824
"471",-2.25342455341756,NA,3.91023662639626,0.879469436921238,NA,-0.28736896669345,NA,-0.742222763792982,-2.98812351862082,-1.21388757242948,NA,NA,NA,NA,7,-58.7884185135442,132.251535822269,7.53730101036874,0.000152793721276392
"2004",-3.08972933154539,0.933843064924441,3.82842601358043,NA,NA,-0.466255824894707,NA,-0.634665702369978,-3.32409899405565,-1.64051494467916,0.840979446700561,2.31259451512462,NA,NA,9,-56.5791155433522,132.255792062314,7.54155725041372,0.000152468903646872
"5804",-3.56587027335905,0.99313884693243,3.47348726825865,NA,-0.634549549061233,NA,0.381507334354155,NA,-3.22355601354567,NA,0.368973973814513,2.45738378161701,NA,-1.07417503702046,9,-56.5798205864586,132.257202148527,7.5429673366265,0.000152361444383574
"2240",-2.15184435598252,1.18380556745408,4.24369488601988,0.969364153222219,-0.839051407257548,0.0434869962844448,0.433399197964515,NA,-3.94113000004132,NA,NA,NA,-2.14453208715894,NA,9,-56.5807716809066,132.259104337423,7.5448695255225,0.000152216603149497
"2736",-2.13984051881427,1.18247794170909,4.26087860850443,0.963103563878636,-0.849693616256543,NA,0.437167066149638,NA,-3.9386810373503,NA,-7.01628922417512e-05,NA,-2.12778242112347,NA,9,-56.5815052491426,132.260571473895,7.54633666199459,0.000152104982829994
"5531",-2.65091729297762,NA,3.53739139113517,NA,-0.600664974142602,-0.864733083872514,NA,NA,-2.13875027347596,-0.868878842544946,NA,2.31922711209335,NA,-1.02173137771565,8,-57.6943935074098,132.261514287547,7.54727947564649,0.00015203329640089
"7823",-3.73522815547158,NA,3.95199953861433,1.12338354485759,-0.518355683259184,NA,NA,NA,-3.00665348564522,NA,1.2788852151643,2.46164816325641,-1.62050262774546,-1.21472764768957,9,-56.5829878624978,132.263536700605,7.54930188870489,0.000151879637042681
"7596",-2.05881762223119,1.26020943362176,3.79765685649762,NA,-0.995951487389507,NA,0.428947064789466,NA,-3.0425067615768,-1.13348026541295,NA,1.81155843718194,-1.71852268423376,-0.772720627378603,10,-55.4571608907488,132.264015033031,7.54978022113087,0.000151843316908506
"3504",-2.74848689345215,1.27771664082392,3.86738966602604,1.0005933403242,-0.911269738182206,NA,0.421112023113605,NA,-3.11217498030389,-1.26210049861544,NA,1.76569774207686,-1.91570200576125,NA,10,-55.4580905340031,132.26587431954,7.55163950763952,0.000151702222387175
"2075",-2.80311461373429,NA,4.17750016120677,NA,-0.688505677854989,-0.174074484596636,NA,NA,NA,NA,NA,NA,-1.87887695915405,NA,5,-60.9548296136339,132.266802084411,7.55256727251034,0.000151631866710439
"2571",-2.78906031249694,NA,4.05920517753716,NA,-0.621875174299253,NA,NA,NA,NA,NA,-0.154298147519241,NA,-1.9006611706755,NA,5,-60.9556021737047,132.268347204552,7.55411239265194,0.000151514767223776
"463",-2.20893212833815,NA,3.76117049502295,0.820900094202884,-0.23028903417085,NA,NA,-0.714379758691507,-2.96790347785175,-1.20663629710304,NA,NA,NA,NA,7,-58.7970950404151,132.268888876011,7.55465406411062,0.000151473737167743
"5356",-3.33096139579254,1.08461549697721,3.58024381760205,NA,-0.587124170676817,NA,0.402183175643666,-0.463273178928492,-3.03963613103603,NA,NA,2.38012976650112,NA,-1.01677637101948,9,-56.5857333121369,132.269027599883,7.55479278798308,0.000151463231020413
"1620",-5.0932413638072,0.938138826433801,3.72792722516336,NA,NA,-0.548874112447051,NA,-0.515708065906587,NA,NA,-0.613146112248097,3.58838863209448,NA,NA,7,-58.7974650385013,132.269628872183,7.55539406028291,0.000151417702541881
"5506",-1.82915062001313,0.904176977279415,NA,NA,NA,NA,NA,NA,-3.04037567677395,-1.00693561030579,NA,3.30841316712585,NA,-0.677203587474337,6,-59.8834859987825,132.269966009541,7.5557311976406,0.000151392180410986
"547",-3.93279556476292,NA,3.81075025366534,NA,NA,NA,0.408001899009574,NA,NA,NA,-0.512672093992016,NA,NA,NA,4,-62.018317806306,132.273322003145,7.55908719124412,0.000151138357832739
"7824",-3.40129613677486,1.05601541513498,4.01382314681745,1.07194368539778,-0.640926407222378,NA,NA,NA,-3.25986674721537,NA,0.47892459605691,2.32380778108739,-1.80875351125289,-1.00197457511553,10,-55.4623867486015,132.274466748737,7.56023193683646,0.000151051875100801
"2995",-1.64591902534065,NA,3.95104034093432,NA,NA,0.0202561034203865,0.175043173304959,NA,-3.78082763580102,-1.96791768233472,1.51363151404432,NA,-1.58569174615664,NA,8,-57.700949871653,132.274627016033,7.56039220413288,0.000151039771247949
"3266",-2.52603318489966,0.889301991050043,NA,NA,NA,NA,NA,1.31237975524293,-3.22637026649273,NA,NA,3.31059449541871,-1.1107438518569,NA,6,-59.8873258672872,132.277645746551,7.56341093465016,0.000150811969026182
