"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1867",-1.66504996536676,NA,0.214100295998579,NA,-0.770819834301726,NA,NA,4.48844596464898,NA,1.2444347797058,-2.88788919362555,0.0355369991401107,NA,7,-104.262900016849,223.192466700364,35.7034910816533,2.88683880255646e-10
"419",1.96616974725179,NA,-0.151468849017584,NA,NA,NA,-0.773114014487543,NA,-4.25590179398309,0.256244079357477,NA,NA,NA,5,-106.424138438414,223.201218053298,35.712242434587,2.87423452617303e-10
"2957",1.47441714868975,NA,NA,1.19421855560035,-0.943648290556478,NA,NA,NA,-4.16860321509469,0.657728376419019,-1.12759411254131,NA,0.0801731135346877,7,-104.270200434297,223.20706753526,35.7180919165494,2.86584041594752e-10
"3931",-0.787991421856414,NA,0.263922363466278,NA,-0.426086066845764,-1.46668920767546,NA,3.82529259596536,NA,1.34630721854976,-2.87349903436968,0.0765215021158683,-0.270411192178936,9,-102.064859513144,223.214056375685,35.7250807569744,2.85584344225841e-10
"3913",-1.58168443777678,NA,NA,NA,-0.798665047499697,NA,NA,4.437653635055,NA,1.21551385264401,-2.65515152936843,0.0821942440458407,-0.260671439111318,7,-104.274259976485,223.215186619636,35.7262110009258,2.85422999830937e-10
"1441",1.91260999653332,NA,NA,NA,NA,NA,-0.862170608945594,NA,-4.3231472009221,0.174990921537412,NA,0.267452138597384,NA,5,-106.431383326923,223.215707830316,35.7267322116055,2.85348626764488e-10
"117",-0.0290461593036501,NA,NA,0.393196217023059,NA,-1.57353343885933,-1.88840907314391,2.6821987320263,NA,NA,NA,NA,NA,5,-106.431617286785,223.216175750041,35.7272001313308,2.85281874447956e-10
"2161",0.213797996571504,NA,NA,NA,NA,-1.58636648139051,-1.81621783978928,2.7537975245479,NA,NA,NA,NA,-0.239956336823273,5,-106.439021685103,223.230984546676,35.7420089279659,2.83177334856598e-10
"817",1.59659690433858,NA,NA,NA,NA,-1.97119600673519,-1.13023453856125,NA,NA,1.32979487515183,-1.98183869535366,NA,NA,5,-106.440609963007,223.234161102484,35.7451854837731,2.82727927539164e-10
"2183",1.37806069447568,NA,-0.225362977676532,0.651307089044885,NA,NA,NA,NA,-4.69658526844747,NA,NA,NA,0.0826092856510634,5,-106.445646595968,223.244234368407,35.7552587496964,2.81307510801747e-10
"533",1.05642599739295,NA,NA,0.695936324736836,NA,-2.05925854650529,NA,NA,NA,NA,-1.96234604130702,NA,NA,4,-107.506130983969,223.246180096594,35.7572044778832,2.81033969905913e-10
"3233",1.92155901221722,NA,NA,NA,NA,NA,-0.783093574799798,NA,-4.33892324224801,NA,NA,0.291833721529162,0.0185612479935913,5,-106.448742326094,223.250425828659,35.761450209948,2.80438005237638e-10
"1701",1.34506715707675,NA,NA,0.851237950306005,NA,NA,-0.249233618836931,NA,-4.06298009412196,NA,-1.0020927999279,0.422469253833318,NA,6,-105.380981225222,223.259003870562,35.770028251851,2.79237776500596e-10
"3955",-0.6465281676449,NA,0.292946512110226,NA,NA,-1.5116439915381,-0.592212376632937,3.63679021199496,NA,1.5478381185231,-2.82660260029381,0.122959443876458,-0.222259137682777,9,-102.087561037367,223.259459424132,35.7704838054217,2.79174179860707e-10
"391",1.39567351604633,NA,-0.227636407847408,0.643499007067771,NA,NA,NA,NA,-4.69284182904639,0.0471535449585451,NA,NA,NA,5,-106.453467621999,223.259876420469,35.7709008017585,2.7911597862318e-10
"2211",1.98692260572103,NA,-0.142751578430684,NA,NA,NA,-0.667036936323499,NA,-4.28339712850619,NA,NA,NA,0.0691062337015694,5,-106.45695203185,223.266845240171,35.7778696214606,2.78145116580602e-10
"1671",1.26498436851132,NA,0.0794247301626819,0.858970617830994,NA,NA,NA,NA,-4.17669408903941,NA,-1.14662977435216,0.438110721619687,NA,6,-105.393277063844,223.283595547807,35.7946199290966,2.75825336263712e-10
"3717",1.23314785797667,NA,NA,0.855969391538418,NA,NA,NA,NA,-4.16266888537456,NA,-1.09483014844272,0.397306730157503,0.105127650716394,6,-105.393323575231,223.283688570581,35.7947129518703,2.75812507543135e-10
"1195",2.29767683938888,NA,-0.078267924112826,NA,-0.980988747649364,NA,-0.474850682517901,NA,-4.32885295490761,NA,NA,0.163332566980205,NA,6,-105.395959910342,223.288961240802,35.7999856220912,2.75086330988564e-10
"369",0.126013519533689,NA,NA,NA,NA,-1.57406742117829,-1.96118981562125,2.68897114730839,NA,0.2647617290896,NA,NA,NA,5,-106.471662088507,223.296265353484,35.8072897347736,2.74083532462034e-10
"2465",2.01760778630188,NA,NA,NA,NA,NA,-0.880571232003438,NA,-4.31072115029242,0.225033708085728,NA,NA,0.05354938530412,5,-106.478837127865,223.310615432201,35.8216398134899,2.72124010559123e-10
"427",2.36040799152159,NA,-0.084877456512912,NA,-0.987656119808421,NA,-0.51358573308504,NA,-4.31047133386265,0.108358254213235,NA,NA,NA,6,-105.408122645198,223.313286710514,35.8243110918035,2.71760793692448e-10
"3241",2.34375524172007,NA,NA,NA,-0.996169314387026,NA,-0.53070533167333,NA,-4.35000879924656,NA,NA,0.178075896648657,-0.0431367650631657,6,-105.408882858875,223.314807137868,35.8258315191571,2.71554275929026e-10
"1449",2.32844191681062,NA,NA,NA,-0.989072388446534,NA,-0.564137971247271,NA,-4.34688906843545,0.0610016696573256,NA,0.156045808454379,NA,6,-105.409120795427,223.315283010973,35.8263073922622,2.71489670927031e-10
"3699",-0.450558269684851,NA,0.21096589092532,NA,NA,-1.53375815224713,-0.334869933912025,3.50166511905839,NA,NA,-2.19015837937702,0.319708325987329,-0.217845086390649,8,-103.227838952475,223.317953354051,35.8289777353404,2.71127427527603e-10
"2219",2.38765028386125,NA,-0.0793226005560045,NA,-0.998695359463152,NA,-0.463573068024373,NA,-4.32036561936117,NA,NA,NA,-0.0129777881661722,6,-105.414786231299,223.326613882716,35.8376382640056,2.69955912414247e-10
"3961",-0.539521378156798,NA,NA,NA,-0.390651899977102,-1.42162017399733,-0.44827077071058,3.61934788057813,NA,1.36931599874064,-2.45260230128032,0.0201057420426812,-0.239813702029023,9,-102.124393568561,223.333124486521,35.8441488678099,2.6907855322836e-10
"2473",2.41167176548494,NA,NA,NA,-1.0043365964357,NA,-0.568445230160047,NA,-4.33613138392173,0.0924551162929958,NA,NA,-0.0194375000578153,6,-105.425456099709,223.347953619536,35.8589780008253,2.67090830557014e-10
"89",-0.774328431383692,NA,NA,NA,-1.11681977749033,-1.52625961168028,NA,3.20013367710147,NA,NA,NA,NA,NA,4,-107.566787346482,223.367492821618,35.8785172029078,2.64494164549374e-10
