"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"5102",-0.433079401515901,-0.115740326797241,NA,0.754093021281346,-2.99397329691022,NA,2.57486094237257,-0.182212702734957,3.22877223572434,-4.14683219375454,0.249909061140907,NA,NA,0.470515916809551,NA,10,-89.0270312177915,199.403755687117,23.1537668056374,1.39921869062854e-07
"8425",-0.28451066374588,NA,NA,NA,-3.10209987888595,NA,2.08334145995379,-0.31973370303679,3.28516616597167,NA,NA,NA,NA,NA,-1.18477183587977,6,-93.4508416334207,199.404677278817,23.1546883973381,1.39857408498932e-07
"813",1.76208507227016,NA,NA,0.569692624776317,-2.52508105462203,NA,1.07396708604578,NA,NA,-4.64514075292308,-0.16518752647271,NA,NA,NA,NA,6,-93.4520134521709,199.407020916318,23.1570320348384,1.39693616951051e-07
"3314",-3.7253695863064,-0.0636302492015443,NA,NA,NA,1.42216064266847,0.316394239375304,-0.0472419532008339,1.82551809128947,NA,NA,-1.48082454988001,4.11533290961527,NA,NA,8,-91.268704946652,199.410137166031,23.1601482845518,1.39476126336925e-07
"1172",-2.4178604065149,0.00800815110176152,2.75165709934362,NA,NA,1.28907951363579,NA,NA,0.628343264721231,NA,NA,-1.87308788278675,NA,NA,NA,6,-93.4542561672327,199.411506346441,23.1615174649621,1.39380675023231e-07
"5091",-1.70249247699922,NA,3.3599126460703,NA,NA,NA,1.04479286186556,-0.0800671644271597,0.442442734722322,-3.91243879259529,0.217554838836972,NA,NA,0.7822299251161,NA,8,-91.2705057101045,199.413738692936,23.1637498114569,1.39225188833469e-07
"1921",-0.320522371356245,NA,NA,NA,NA,NA,NA,NA,2.68902312096757,-3.4833183632849,1.14519456640557,-1.91149243238999,NA,NA,NA,5,-94.5305765203493,199.418295897841,23.168307016362,1.3890831113299e-07
"6502",-2.64562115637547,-0.258244716324136,NA,1.32796044835831,NA,NA,0.105953871045746,-0.126800634184641,NA,-2.42674445843872,NA,NA,4.38175609508213,1.25765723201471,NA,8,-91.2728086873628,199.418344647453,23.1683557659735,1.38904925311154e-07
"9764",-2.04616829906942,-0.0517387344187646,3.88011695446205,NA,NA,NA,0.472429261831025,NA,NA,NA,1.18509986338591,-2.17676818743001,NA,NA,-1.41649653200235,7,-92.3721411216755,199.418981038532,23.1689921570523,1.38860733414724e-07
"4949",-0.795181870398641,NA,NA,1.54550211898849,NA,2.12670729028067,NA,-0.159907555413055,NA,-3.86229692060507,0.470094339343875,NA,NA,0.270410890196328,NA,7,-92.3726828494724,199.420064494125,23.1700756126461,1.38785529067519e-07
"1354",2.4553032796169,0.0356094492680029,NA,NA,-2.09653392328979,NA,NA,-0.0964356833026072,NA,-3.7136036104243,NA,-0.507696548593067,NA,NA,NA,6,-93.4586030688105,199.420200149597,23.1702112681177,1.38776115878561e-07
"366",1.72339266854538,-0.0668824619758479,NA,0.793197820955675,-2.49775171572795,NA,1.64327604821876,-0.202306622800041,NA,-3.7932945201062,NA,NA,NA,NA,NA,7,-92.3777630274435,199.430224850068,23.1802359685884,1.38082261754097e-07
"4860",-2.66908022636636,-0.227103419704014,3.5109659959483,NA,-2.98554361501359,0.507534281029272,3.30985800244023,-0.240943313022107,0.942056823370113,NA,0.170570929135749,NA,NA,0.380213305519637,NA,10,-89.0413600283233,199.43241330818,23.182424426701,1.37931250766502e-07
"5028",-1.84741071365405,-0.239236586530305,3.44839702868777,NA,NA,NA,0.944862658404739,NA,0.463079934691145,-4.07299708676286,0.0870348190931417,NA,NA,0.773438762336073,NA,8,-91.2799814583436,199.432690189414,23.182701307935,1.37912156800758e-07
