"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(latitude)","log(longitude)","log(nearest_SP)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"12176",30.8724875788755,0.158664532449986,0.879398102469022,0.178288544198574,-9.95971314946463,NA,NA,NA,0.569716029233911,-0.575011291411691,-0.768536729808377,0.232150732955964,0.204935138754846,NA,-0.424448950548161,11,-74.1895437551614,172.008717139952,13.3894219019983,6.04971160411721e-06
"3994",-46.6862067423117,0.120183164544385,NA,NA,-14.1632877260635,22.0888325568372,NA,NA,2.33817366712844,-0.580725260175886,-0.760044788075912,0.178103951309049,0.294304107318735,NA,NA,9,-76.456146879735,172.00985473508,13.3905594971256,6.04627152134396e-06
"16055",-23.1849477622845,NA,0.789812631334771,0.216382713510124,NA,4.44972303955571,-0.261428258179317,NA,0.308795695417128,NA,-0.406631588559951,0.173424043900971,0.349393585835629,-0.131770641202826,-0.518242797523581,11,-74.1905324578153,172.01069454526,13.3913993073062,6.04373319412056e-06
"4837",-5.21760170257404,NA,NA,0.0897301372798787,NA,NA,-0.26048096221385,-0.109443261662609,2.75452278458821,NA,-0.326180955655465,NA,NA,-0.195703021506758,NA,7,-78.6680207481291,172.010740291439,13.3914450534848,6.04359495685243e-06
"16144",31.4373935429654,0.152684892990532,0.940382341453725,0.187826211925205,-9.73915283838804,NA,NA,NA,NA,-0.581426272522496,-0.762513727305501,0.239615148188703,0.197976165224391,-0.170237463049195,-0.409084636371413,11,-74.1907463230882,172.011122275806,13.3918270378519,6.04244078767729e-06
"6029",81.1611809389884,NA,NA,0.0344979101246316,-23.3984163679132,NA,NA,NA,2.97320015110654,-0.765779312290883,-0.984194339370364,0.173605759431832,NA,-0.183360607267368,NA,8,-77.5697606419352,172.012248556598,13.3929533186435,6.03903900311133e-06
"13734",-4.66876474532062,0.098539532489545,NA,0.102165173709752,NA,NA,-0.316345530365898,NA,2.34801538378563,-0.798602458554064,NA,0.121260253955907,NA,-0.137285688424196,-0.40538896540456,9,-76.4574155660501,172.01239210771,13.3930968697559,6.03860556328365e-06
"14055",-5.71180172600515,NA,0.994764709777191,0.209146110239208,NA,NA,-0.218697880843265,0.00702831007172921,0.2993848339511,NA,-0.620361615662424,0.127849618375604,NA,-0.230862329813105,-0.489516156040528,10,-75.3315763785294,172.012846008593,13.3935507706385,6.03723525458809e-06
"4781",40.9913671723768,NA,NA,0.0604918213118125,-12.5251962142175,NA,-0.256370390520106,NA,2.94575921067671,NA,-0.449012451580117,NA,NA,-0.206199075631274,NA,7,-78.6697452837353,172.014189362651,13.3948941246971,6.03318154389158e-06
"15049",61.0761683084202,NA,NA,NA,-18.2118075491777,NA,NA,0.146792779970817,3.32205662911531,NA,-0.255496843054948,NA,0.416819162472909,0.0737532189272241,-0.275807353577768,8,-77.570790289771,172.014307852269,13.3950126143152,6.03282411979099e-06
"5482",30.8512351743877,0.0451839136575386,NA,NA,-8.28201489589935,NA,-0.328026865506051,-0.0301369832310559,NA,-0.800045300399298,NA,0.133446428003287,NA,-0.189347072412324,NA,8,-77.5711838536172,172.015094979962,13.3957997420075,6.03045028548561e-06
"15674",-134.875222272889,0.0948835563221779,NA,NA,2.03083011863855,29.8377543566768,-0.357593880703498,NA,NA,-0.593823131898449,NA,0.192774005952181,0.362570698434725,-0.0455043557553984,-0.398686564770671,10,-75.3328566372189,172.015406525971,13.3961112880174,6.02951097728486e-06
"11840",-23.7147561894181,0.115163817481349,0.809939991532439,0.214106009837031,0.776186003306056,3.89785023788797,-0.267318976824974,NA,NA,NA,-0.420719948714396,0.164484923364055,0.354663993079645,NA,-0.52825275019432,11,-74.1930329240166,172.015695477663,13.3964002397086,6.02863992151237e-06
"7378",-107.711444824755,0.0484579024951528,NA,NA,NA,24.0368781974494,NA,-0.0222499446070206,2.56905591685777,NA,NA,0.0658198320054423,0.408297010804406,-0.120510540311395,NA,8,-77.5717850138599,172.016297300447,13.397002062493,6.02682610799302e-06
"16152",-44.7143919579333,0.155257025439206,0.915076139839379,0.204564679086897,NA,9.33682383746601,NA,NA,NA,-0.58420755021789,-0.710904141239439,0.230751294045907,0.192296057051247,-0.197279866910946,-0.399262342072682,11,-74.1937662441267,172.017162117883,13.3978668799289,6.02422061920078e-06
"11932",60.9137916612614,0.108496340452536,0.83834035834758,NA,-15.6381040139415,-2.03849425997096,NA,NA,0.887464045428164,NA,-0.648559679855793,0.160814472237628,0.305329822604579,NA,-0.392709235712834,10,-75.3350266862849,172.019746624104,13.4004513861495,6.01644082918018e-06
"9282",-0.704891818783376,-0.0789880302407639,NA,NA,NA,NA,NA,-0.34905445828133,NA,NA,NA,0.0763709191440581,NA,NA,-0.196794860950604,5,-80.8313341948284,172.0198112468,13.4005160088456,6.01624643300722e-06
"13797",-4.81628728284533,NA,NA,0.0987223100552405,NA,NA,-0.318427823340039,0.0584085503632383,2.35806719713409,-0.813201058315438,NA,0.121066538663357,NA,-0.127924867553635,-0.414166496184405,9,-76.4614210799418,172.020403135493,13.4011078975391,6.01446622232112e-06
