"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"10312",-5.95928597807902,0.794974820637026,3.70824845853897,1.13911408194502,NA,NA,NA,-0.0256804407309378,NA,NA,NA,NA,3.54877450434587,NA,-1.26215548960478,7,-58.0002213826051,130.675141560391,5.96090674849063,0.000235927455260184
"1415",-2.85777379145983,NA,4.06682201082185,0.868217398135145,NA,NA,NA,NA,-0.958370086160516,-3.68888818813704,NA,0.686920133843204,NA,NA,NA,6,-59.0861901262079,130.675374264392,5.96113945249141,0.000235900006225723
"2503",-4.89164628780878,NA,3.80865521086741,0.748110285953067,NA,NA,NA,0.187923773183669,-0.667106830816839,-3.08272523247838,NA,NA,2.8699534907761,NA,NA,7,-58.0008362303273,130.676371255835,5.96213644393498,0.000235782440387319
"6187",-4.39849359921009,NA,3.44380794036215,NA,-0.718985164178243,NA,0.60325019884893,NA,NA,NA,NA,NA,3.09201503301989,-1.62203003809317,NA,6,-59.0870517407437,130.677097493464,5.96286268156317,0.000235696838889879
"10291",-5.00794460748873,NA,3.66579212915547,NA,NA,-0.626760629669927,0.24316152313691,NA,NA,NA,NA,NA,3.53511735247736,NA,-1.19363332552742,6,-59.0871511958782,130.677296403733,5.96306159183217,0.000235673398794704
"10315",-5.39697421978742,NA,3.57811274638665,NA,-0.445978508504827,NA,NA,0.0996988824543123,NA,NA,NA,NA,3.64222116942029,NA,-1.21459711378787,6,-59.0913304418356,130.685654895647,5.97142008374681,0.000234690516978564
"13588",-1.72502155947171,1.08256109468184,4.12907033103996,NA,NA,0.0904786328149917,NA,NA,NA,-4.05768791967336,NA,0.159255498809345,NA,-1.69878273899786,-0.853073489399208,8,-56.9087231571141,130.690173586955,5.975938775055,0.000234160868533732
"15628",-2.67643573138487,1.07789841946718,3.8268123608829,NA,-0.804220792353993,NA,NA,NA,NA,-3.29972621793481,NA,0.489073975022953,2.31807435581373,-1.77141692542579,-0.891486916590227,9,-55.7971292761331,130.691819527876,5.9775847159755,0.000233968240330516
"800",-1.92361405157838,1.24940398544343,4.03649848296834,0.73488395067317,-0.740398741807895,-0.544130150790319,NA,NA,NA,-3.78873678812537,-1.71042059023981,NA,NA,NA,NA,8,-56.9101107942949,130.692948861317,5.97871404941677,0.000233836163544707
"2391",-5.01725070645963,NA,3.73298831953211,0.715624044067838,NA,-0.375737938756413,NA,0.183641302433498,NA,-3.08318040217263,NA,NA,2.96355853671272,NA,NA,7,-58.0092791504802,130.693257096141,5.9790222842407,0.000233800128097274
"6936",-3.25959205521637,1.20833011678437,3.8463516690196,1.14867597413272,NA,-0.0599498955078175,NA,NA,NA,-3.09669433772698,-1.16267260360635,NA,1.92239776517799,-1.68681732954454,NA,9,-55.7982355095734,130.694031994757,5.97979718285612,0.000233709559945917
"6952",-3.27595858075837,1.20681571885467,3.83065075060626,1.15864348816568,NA,NA,0.0355566469680545,NA,NA,-3.10593846393751,-1.15950582215413,NA,1.89524062459017,-1.70968217936497,NA,9,-55.7992782279977,130.696117431605,5.98188261970486,0.00023346599368939
"13604",-1.71358641406655,1.07843867324616,4.16608930466708,NA,NA,NA,0.00207428807648933,NA,NA,-4.05414558534242,NA,0.160990653991262,NA,-1.66205862145993,-0.861291021101346,8,-56.9121435002044,130.697014273136,5.98277946123571,0.0002333613261591
"3403",-4.5429769296953,NA,3.5593725721499,NA,-0.514118182284565,NA,NA,0.182563137040547,NA,-3.44235081536035,NA,0.570869230790853,2.90248704145674,NA,NA,7,-58.0123196369896,130.69933806916,5.98510325725948,0.000233090341556906
"14620",-2.53553095951118,1.18919564201371,3.8999297888436,NA,-0.865545759512861,-0.43141592845794,NA,NA,NA,-3.0221563159152,NA,NA,2.3682864565338,-1.55294459910359,-0.85369789632624,9,-55.8031236214474,130.703808218505,5.98957340660414,0.000232569949012863
"1324",-2.33291859607543,1.11432558340333,3.70119831034203,NA,-0.650067579384082,NA,0.390637328084928,NA,NA,-3.97386159228697,NA,-0.175294066066553,NA,NA,NA,7,-58.0158793276725,130.706457450526,5.99222263862535,0.000232262087079252
"12596",-1.7024423621796,1.12310778109038,4.09758113255149,NA,NA,0.0925496696859803,0.00890035363312053,NA,NA,-3.97675760427328,NA,NA,NA,-1.68462403830402,-0.831605524815672,8,-56.9169784276644,130.706684128056,5.9924493161557,0.000232235764272831
"460",-2.19760582008661,1.04552413995484,3.93517316247634,NA,-0.54801594736294,NA,NA,0.0297071558389586,-0.462567692070389,-4.13190040081401,NA,NA,NA,NA,NA,7,-58.0163148570477,130.707328509276,5.99309369737571,0.000232160952142805
"2817",-2.09616922561928,NA,NA,NA,NA,NA,NA,NA,NA,-2.38085790921606,-0.925575033963846,NA,3.22063729626348,NA,NA,4,-61.2360823303979,130.708851051328,5.99461623942807,0.000231984281991994
"6219",-4.66173910302988,NA,3.55438062804848,NA,-0.611630347095525,NA,NA,0.0723772844467225,NA,NA,NA,NA,3.36757607263566,-1.61543122578661,NA,6,-59.1041026447806,130.711199301537,5.99696448963692,0.000231712063263369
