"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"4200",-1.18973517908873,0.300538558993637,-1.72134580574002,1.18982359076081,NA,NA,-0.0769474331975798,-0.31017598252389,NA,NA,NA,NA,NA,0.0040233034736998,7,-79.9645242469024,174.595715160472,11.8313406297765,1.90967101690966e-05
"4424",-1.22965002041756,0.290309013579147,-1.70868499165629,1.18892492404349,NA,NA,NA,-0.346485649825476,NA,0.0575903843300185,NA,NA,NA,0.000286460589872508,7,-79.9662951746508,174.599257015968,11.8348824852732,1.9062921202896e-05
"624",-0.673109354423423,0.178068948840999,-2.76379102288419,1.17006251482585,-0.942915264607896,NA,-0.0148092076571254,-0.645677854361981,NA,NA,1.60413743471303,NA,NA,NA,8,-78.8695567481069,174.601388945316,11.8370144146205,1.90426116288838e-05
"4330",-2.27587440104891,0.0695451316576068,NA,NA,-0.499122446685149,NA,0.269764049831387,-0.459478113095329,2.3649550621138,NA,NA,NA,NA,-0.311265392021955,7,-79.9682018282177,174.603070323102,11.8386957924071,1.90266094441606e-05
"6725",-1.41088342172886,NA,NA,1.12736456568842,NA,NA,NA,-1.01860820351347,NA,NA,0.165644076930514,NA,-0.355734607122214,-0.00942537559362161,6,-81.0540691956996,174.605179811517,11.8408052808225,1.90065518177495e-05
"2630",-1.41390838339142,-0.00342211191786547,NA,1.12814049389778,NA,NA,NA,-1.01810235185019,NA,NA,0.167590899605049,NA,-0.358992235055881,NA,6,-81.0541305311967,174.605302482512,11.8409279518168,1.90053860771954e-05
"5464",-2.65468843607003,0.328111696985408,-1.41494758318304,1.12390430712907,NA,-0.830335894403096,NA,0.50366720897042,NA,0.191544255866459,NA,2.3994980457973,NA,-0.124155710261412,9,-77.7609747091732,174.606286767744,11.841912237049,1.89960350179875e-05
"3878",-3.56148774875803,0.015682454185276,NA,0.999606466310961,NA,NA,0.0469184942179752,NA,NA,-0.140975990848576,0.350992112636406,3.00561874631222,-0.17980704493163,NA,8,-78.8723421097881,174.606959668678,11.842585137983,1.8989644868179e-05
"490",-2.30599242400826,0.0841460241860369,NA,NA,-0.506056039448676,NA,0.280785650222102,-0.326632020771173,2.3603190112118,-0.454399476140614,NA,NA,NA,NA,7,-79.9706091237534,174.607884914173,11.8435103834785,1.89808618582581e-05
"4841",-2.28282008973952,NA,NA,NA,-0.509835960702702,NA,0.292917089174255,-0.470641600324093,2.33718781039381,NA,0.0893325277976279,NA,NA,-0.312053542933344,7,-79.9722216387897,174.611109944246,11.8467354135511,1.89502795969148e-05
"3416",-2.6185080206548,0.321430893573654,-1.41316967295776,1.13664917997961,NA,-0.830887933113055,NA,0.481258903924472,NA,0.206380150683105,NA,2.37738997878902,-0.144189545884422,NA,9,-77.765015850211,174.61436904982,11.8499945191246,1.89194242630132e-05
"8103",-3.35332547804122,NA,-2.0934471949663,0.815090873658485,NA,NA,-0.246387587987697,NA,1.91405029368183,-0.329791248978644,1.47533544236551,2.39516050160819,-0.204545762500025,-0.103412036442843,10,-76.6438893017342,174.621111936802,11.8567374061067,1.88557458975497e-05
"869",-1.62397226479264,NA,NA,1.08914761801672,NA,NA,0.244563870175042,-1.0024683605074,NA,-0.262005570740772,0.21982740297357,NA,NA,NA,6,-81.0631187140724,174.623278848263,11.8589043175681,1.88353275947615e-05
"3360",-2.27962942901585,0.403486948833461,-1.32645098564584,1.24990560199448,-0.292971105440063,-0.6967739055168,NA,NA,NA,0.312835721572436,NA,2.22097675888261,-0.213349292293523,NA,9,-77.7701355942262,174.62460853785,11.860234007155,1.88228091871379e-05
"3872",-1.760807530851,0.158742551670529,-2.53941851517134,0.982796060193345,-0.799442468507157,-0.716244688000194,NA,NA,NA,-0.654124005548881,2.10249815703892,2.33140341165102,-0.251915566635313,NA,10,-76.6461376283466,174.625608590027,11.8612340593316,1.88133996441937e-05
"7467",-2.12335385264358,NA,-0.919304372985774,NA,-0.297598436315532,NA,0.196088250744276,NA,NA,0.254707821794849,NA,2.41348515215201,-0.151111807708518,-0.154250019841011,8,-78.881711274232,174.625697997566,11.8613234668708,1.88125586331089e-05
"2374",-1.42623709113173,0.0338256721580563,NA,1.14544574231484,NA,NA,NA,-0.889721166721569,NA,-0.0846519903649253,NA,NA,-0.321003480530774,NA,6,-81.0651861197784,174.627413659675,11.8630391289802,1.87964275559534e-05
"7256",-2.56538773444843,0.324428115747538,-1.39032194300342,1.1060712843593,NA,-0.830383996747146,NA,0.564388361043271,NA,NA,NA,2.37142840722422,-0.0867467036503344,-0.104936312613874,9,-77.771585777765,174.627508904928,11.8631343742327,1.87955324420233e-05
"6184",-1.19852230945615,0.258101793142958,-1.81224334705407,1.15021325041943,NA,NA,-0.122796691604368,NA,NA,NA,NA,NA,-0.188581676575178,0.0191708841299611,7,-79.9810040533602,174.628674773387,11.8643002426921,1.87845790756531e-05
"2344",-1.19152415040744,0.258913519792295,-1.80845102072386,1.14729557945155,NA,NA,-0.121022720315335,NA,NA,-0.00891665537098547,NA,NA,-0.182213220131084,NA,7,-79.9813007645135,174.629268195694,11.8648936649986,1.87790063083247e-05
