"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LMSPW","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"7282",-5.88626787409146,-0.132313442177494,NA,NA,NA,1.42128992201691,-0.19041260854561,2.72174981579164,NA,NA,NA,6.94057944047648,1.2604851778715,-0.992807233831425,8,-91.1790998635347,199.230926999797,14.6826286519313,5.08547022725642e-06
"7858",-2.97862005189966,0.207031041457144,NA,NA,NA,1.85268555066503,-0.122719944210985,NA,-2.7417684001189,NA,-0.662954782459484,5.99732470549597,1.45623970368455,-0.876757966846318,9,-90.0678926426898,199.233346260989,14.6850479131239,5.07932240591894e-06
"5906",-4.10657321343173,0.148557193607787,NA,NA,NA,1.89051328407578,NA,NA,NA,1.65406159620604,-1.83878125513388,6.69596744547222,NA,-0.630902127710285,7,-92.2794953919328,199.233689579046,14.6853912311808,5.07845056920093e-06
"5044",-1.7878070618295,0.343518140463717,4.55772247362271,NA,NA,1.29183904005661,1.15428339951988,NA,-3.86733477645507,0.477963729511243,-1.05890609101756,NA,NA,-0.665784483018119,9,-90.0700378232282,199.237636622066,14.6893382742007,5.06843802100494e-06
"7701",-4.57853489576519,NA,NA,0.428401804370728,NA,1.80133066043183,NA,NA,NA,NA,-1.15566237367304,6.82271193907777,1.43256371139843,-0.862434798280008,7,-92.2822129728362,199.239124740853,14.6908263929877,5.06466820474236e-06
"6548",-1.18285086631989,0.222061614162316,4.15309570268087,NA,NA,1.20484725846869,NA,NA,-4.11486869489312,-0.100408975878447,NA,NA,0.436415401836262,-0.926407499109239,8,-91.1835306305967,199.239788533921,14.6914901860552,5.06298753783979e-06
"2712",-1.6432247878747,0.417081107944384,4.06669470471461,0.701451298739639,NA,1.37253445209439,NA,NA,-3.77049216170565,NA,-0.842246706354113,NA,0.109071581632606,NA,8,-91.1843474632953,199.241422199318,14.6931238514524,5.05885361265875e-06
"484",-1.97111888110712,0.0964402101330238,4.57396512437188,NA,NA,NA,1.04309917589921,1.36772953212235,-4.34298697951406,-0.0902772960583195,NA,NA,NA,NA,7,-92.2834297649084,199.241558324998,14.6932599771321,5.05850930443294e-06
"5226",-4.40669220559992,-0.160604093561467,NA,NA,-1.50917913593141,NA,0.143780319085548,3.80131195268018,NA,NA,NA,6.67619793515897,NA,-0.853735201080453,7,-92.285704352473,199.246107500127,14.6978091522613,5.0470163578856e-06
"5937",-3.96183623151874,NA,NA,NA,NA,1.84612905854911,-0.226893839059172,NA,NA,1.6025994748382,-1.66869841986157,6.65705099190302,NA,-0.668826296217249,7,-92.2869341294106,199.248567054002,14.7002687061363,5.04081346843225e-06
"7918",-3.66694107760954,0.322874312449998,NA,-0.0652010656294559,-1.21345679279418,NA,0.428560194211082,4.05242978799458,-2.74702198030399,NA,-0.900001103007222,5.96574506355481,1.47972893401117,-0.960786142009811,11,-87.8177698602077,199.265169350045,14.7168710021796,4.99914212895412e-06
"2744",-2.64987076039756,0.326571058281998,4.63933719423842,0.810181750246009,NA,1.42663155900785,1.37698766599061,NA,-3.93423007075113,NA,-0.942505466416802,NA,0.273543958940057,NA,9,-90.0861149077889,199.269790791188,14.7214924433221,4.98760384440775e-06
"768",-2.47544284468807,0.388920025625256,4.18320781668494,0.527150108472526,-1.03475439461376,1.13357585116942,1.71527228400669,1.64727215056569,-4.02219951230307,NA,-0.919905605788923,NA,NA,NA,10,-88.9614283732501,199.272549998034,14.7242516501685,4.98072767335574e-06
"4320",-1.50229758249357,0.270331778798348,3.80937989298186,0.69782688504966,-0.652866735717753,1.07811753839521,NA,1.30413285547109,-4.11218328637305,NA,NA,NA,NA,-0.967067217585547,9,-90.094622600766,199.286806177142,14.7385078292763,4.94535083488315e-06
"1185",-1.51885511001264,NA,NA,NA,NA,NA,-0.525600168495753,NA,-2.87656251545148,NA,NA,5.88363245669497,NA,NA,4,-95.5252006377226,199.287087665978,14.7387893181123,4.94465485333712e-06
"1722",-2.18159977820068,0.194431202408626,NA,NA,-0.608096556271797,1.90175011170102,0.106904341432882,NA,-2.7834652872388,NA,-0.588358828654738,5.53398170685334,NA,NA,8,-91.208319689269,199.289366651265,14.7410683033998,4.93902366446421e-06
"1050",-3.95996486859454,-0.176362123309072,NA,NA,-0.751995949429811,1.78832952608673,NA,NA,NA,NA,NA,6.73678322108372,NA,NA,5,-94.4683949350643,199.293932727271,14.745634379406,4.9277605476941e-06
"4808",-1.43550728225733,0.38706389392481,4.1830115282116,0.664620175353177,NA,NA,NA,1.61468753664,-3.66488637627879,NA,-0.876823816579296,NA,NA,-0.930587852046357,8,-91.2112758490717,199.295278970871,14.7469806230052,4.92444468076256e-06
"1053",-4.28816364767495,NA,NA,0.343249461420648,-0.72664371244402,1.86855757081342,NA,NA,NA,NA,NA,6.83942464739581,NA,NA,5,-94.4699783612407,199.297099579624,14.7488012317587,4.91996397692805e-06
"1673",-1.18567779865816,NA,NA,NA,-0.947593394070773,NA,NA,NA,-2.54726406715248,NA,-0.512384918534993,5.79203659144069,NA,NA,5,-94.4703396994506,199.297822256044,14.7495239081785,4.91818652710154e-06
"4831",-1.48311558405581,NA,3.63555662977832,0.693887145917001,-0.51551156895703,1.06076496907661,NA,1.38604745722754,-3.65216643879368,NA,-0.44021051024436,NA,NA,-0.929946736368446,9,-90.1003303225802,199.29822162077,14.7499232729046,4.91720455003892e-06
"6831",-1.76048878965102,NA,5.30623316639594,0.617494790699351,-1.12517458555403,NA,1.61811350464166,NA,-3.80706397834329,NA,-0.411941905014348,NA,0.620973473190822,-0.920116028764907,9,-90.1017112287501,199.30098343311,14.7526850852446,4.91041903809262e-06
"3194",-5.83842081379248,-0.142987284730091,NA,NA,-1.12474881675277,1.24428949614937,0.444525985981353,3.05100235494105,NA,NA,NA,6.8827869842251,0.858212661653076,NA,8,-91.2169629758373,199.306653224402,14.7583548765363,4.89651822552819e-06
"3449",-6.00742052455195,NA,NA,NA,-1.11947001186753,1.28044305127889,0.381165555961611,3.05795228075664,NA,0.269052832379841,NA,7.02497402953809,0.79625602521791,NA,8,-91.2192268751196,199.311181022966,14.7628826751009,4.88544553988338e-06
"1725",-2.45179173991341,NA,NA,0.30808910323658,-0.530434898203197,1.92191530362087,0.151021944526302,NA,-2.72663978152854,NA,-0.476414916047881,5.52742685421055,NA,NA,8,-91.2199099555769,199.312547183881,14.7642488360157,4.88210952702188e-06
"5229",-4.5703311780137,NA,NA,0.20144097884059,-1.4890718231267,NA,0.0759722317262743,3.82914608333123,NA,NA,NA,6.76151479661891,NA,-0.885620695029981,7,-92.3191431639631,199.312985123107,14.7646867752415,4.881040610423e-06
"3233",-2.49970640667804,NA,NA,NA,NA,NA,-0.366446685011611,NA,-2.94227497314729,NA,NA,6.34142970369591,1.38786514875623,NA,5,-94.4798355295237,199.31681391619,14.7685155683248,4.87170530175109e-06
"2759",-1.65627047609096,NA,3.92232694133564,0.474013171377896,NA,NA,NA,1.55484759786528,-3.6018697998208,NA,-0.763913468560173,NA,0.312700737547092,NA,7,-92.3224784148217,199.319655624824,14.7713572769586,4.8647882334794e-06
"3027",-1.7029497818541,NA,3.32574834312145,NA,NA,1.16170240534648,NA,1.47154564243675,-3.62414642745577,0.485215465261869,-0.950223697987381,NA,0.157319249100895,NA,8,-91.2254461249574,199.323619522642,14.7753211747765,4.85515602017795e-06
"656",-0.697184015017231,0.375044976545279,4.59651272408595,0.426182111112665,-0.734446339084397,NA,NA,NA,-3.73201083085331,NA,-0.674241268614878,NA,NA,NA,7,-92.3250011124185,199.324701020018,14.7764026721523,4.85253131064872e-06
"3721",-2.14747707427689,NA,NA,NA,-0.811701190494791,NA,NA,NA,-2.52403640167373,NA,-0.637553361638746,6.24333311180176,1.41056802976054,NA,6,-93.4134374032825,199.329868818541,14.7815704706755,4.84000904368349e-06
"8045",-5.55282090318282,NA,NA,0.135301900661865,-1.00155181703661,NA,0.4371315330007,4.10556977823579,NA,1.53597463145939,-1.99051262096245,6.8327557114979,1.31130394772536,-0.98012615150714,10,-88.9913104373006,199.332314126135,14.7840157782694,4.83409500439695e-06
"2788",-2.19672708075064,0.372963536984229,4.38291664529609,NA,NA,NA,1.21549966661128,1.75407990388147,-3.89644950799347,NA,-1.22202281553689,NA,0.532024539872214,NA,8,-91.2381579809858,199.349043234699,14.8007448868333,4.79382859438694e-06
"3197",-5.98396346349313,NA,NA,0.172350272802858,-1.10024424325133,1.29697866928341,0.390035749377322,3.06632501272337,NA,NA,NA,6.94410037513444,0.805666607264494,NA,8,-91.2426103035229,199.357947879773,14.8096495319076,4.7725323673127e-06
