"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"4012",-1.01313968869007,4.37702529648318,0.132875857615561,NA,-2.25292371121405,NA,0.806870977270925,NA,0.438010164148848,-4.10667745162338,0.672739076001689,-0.799161788047552,0.494472543803553,NA,10,-87.0197599195543,195.372853172442,15.3512990647482,2.05249375672636e-05
"2525",0.764933685090318,NA,NA,2.08755643226424,-2.34278123135676,-1.13802473256452,NA,-0.187991365808802,2.19418404355843,-4.67901592985321,NA,NA,-0.14082171284682,NA,8,-89.2560296574259,195.374334763954,15.3527806562599,2.05097384110551e-05
"7628",-0.847380146055443,4.60728461261119,0.0550609535230223,NA,-2.161345537123,NA,NA,0.837220933292466,0.268942950204274,-4.3645176566085,NA,-0.599779304433336,0.612632956563312,-0.399567964164814,10,-87.0212064103041,195.375746153942,15.3541920462478,2.04952698971105e-05
"1828",-1.12059275873404,4.30300705416257,0.104713777040297,NA,NA,NA,-0.679247563580618,NA,NA,-3.54705902366624,1.21418679857619,-1.33350798165587,NA,NA,7,-90.3554559962075,195.377578659082,15.356024551388,2.04764996538478e-05
"3036",-0.21153053338354,4.3197150276268,-0.0347060982330748,NA,-2.05130621494842,-0.7299076401186,NA,0.593377374550485,-0.0660607055908761,-4.62443295459188,0.0698486521646601,NA,0.255629468529888,NA,10,-87.0223705309602,195.378074395254,15.3565202875601,2.04714248120413e-05
"1098",-1.23835397617007,4.28720564994445,NA,NA,-1.93056688178753,NA,NA,-0.529620633357973,NA,NA,NA,-1.12855759154909,NA,NA,5,-92.5145865711628,195.382114318796,15.3605602111024,2.04301150526331e-05
"1970",-0.297549722976894,3.85547060681686,NA,NA,NA,-1.20110334880755,-0.453741545524165,NA,-0.30460084125334,-3.58280280226945,1.17846537368624,-1.21531558148183,NA,NA,8,-89.2611730084033,195.384621465908,15.3630673582147,2.04045204463665e-05
"5970",-0.677136529786825,3.83883202188484,NA,NA,NA,-1.27611231509664,NA,0.473960535276125,NA,-3.80148929087261,1.17534027558305,-1.41905621351482,NA,-0.155409598926191,8,-89.2613044803169,195.384884409736,15.3633303020419,2.04018380013547e-05
"1876",-0.682551303363482,3.82328132843228,0.126286892015587,NA,NA,-1.28296044995154,NA,0.434867505210441,NA,-3.83098775402552,1.18535182173548,-1.51275615031303,NA,NA,8,-89.2618117228698,195.385898894841,15.3643447871477,2.03914919451646e-05
"4598",-0.998228556368582,4.74361666453588,NA,2.16404112428781,NA,-1.11047841367734,-1.22431494058998,0.443371442270629,-1.22348562109667,-4.51733424708452,NA,NA,NA,-0.219634776619846,9,-88.1512580642037,195.386853477805,15.3652993701113,2.03817615820527e-05
"479",0.708712367955977,NA,0.0422419233123263,2.10919468774917,-2.32901339304013,-1.13077401687372,NA,-0.230277704279952,2.17149419119038,-4.70078683524729,NA,NA,NA,NA,8,-89.2633985264939,195.38907250209,15.3675183943959,2.03591603106072e-05
"3426",-1.5982190677933,4.53296642053373,NA,NA,NA,NA,-0.795999571078362,0.806954163527676,NA,-3.98740497650141,NA,-1.04887566526311,0.905762006773929,NA,7,-90.3615074671036,195.389681600874,15.3681274931801,2.03529608847746e-05
"1954",-1.07252732260729,4.41097617840649,NA,NA,NA,NA,-0.688917717873156,NA,-0.221818997826742,-3.54267295719303,1.19020287088991,-1.22294956884305,NA,NA,7,-90.3633560260207,195.393378718708,15.3718246110143,2.03153719907884e-05
"6102",-2.05309051239061,4.36510880358312,NA,2.38578598663785,NA,-1.17436261638824,NA,0.269299720357885,-0.502298555648457,-3.90674490969326,1.70085300219217,-1.70371921197177,NA,-0.0292060508252568,10,-87.0338826523449,195.401098638023,15.3795445303295,2.02371066222316e-05
"927",0.562442108967857,NA,-0.0121825851504293,2.09473536550173,-2.31979744003929,-1.15305626439531,NA,NA,2.19396099462836,-4.8316862139441,0.157182371482883,NA,NA,NA,8,-89.2695599558508,195.401395360803,15.3798412531096,2.02341044396721e-05
"2463",0.712941073810083,NA,0.0131559557313393,2.06740249495824,-2.36040844704719,-1.1605760914998,NA,NA,2.22749496429683,-4.79753166260729,NA,NA,-0.15673754578117,NA,8,-89.2702126433969,195.402700735896,15.3811466282018,2.02209022006349e-05
"8160",-2.16915023597146,4.74053588685562,0.329806957823474,2.90923969196605,-2.13208518899416,-0.49567223907769,NA,0.510996762279573,-0.126028125670943,-4.44808576359698,1.08780159249754,-1.36920205866436,0.670002419356988,-0.230611162196261,13,-83.5861673043492,195.419248188945,15.3976940812517,2.00542901873012e-05
"2002",-0.667963670828694,3.9206023864503,NA,NA,NA,-1.27774440266655,NA,0.463582654701825,-0.181844253620341,-3.82847002953389,1.15218560696133,-1.39718460573584,NA,NA,8,-89.2801061566514,195.422487762405,15.4009336547108,2.00218328082978e-05
"1480",-2.31638435252988,5.01297434873577,0.122974205230587,2.09444573788336,NA,NA,NA,0.466173822277161,-0.570824380813844,-4.14677239439412,NA,-1.06851739751983,NA,NA,8,-89.2803041195617,195.422883688225,15.4013295805314,2.00178696203004e-05
"1162",-1.67095738950444,4.05134801231054,NA,NA,-1.9937812474831,NA,NA,NA,0.675481575226417,NA,NA,-1.41007350291038,NA,NA,5,-92.5356048702581,195.424150916987,15.402596809293,2.0005190027646e-05
"4096",-2.30208181869567,4.68584772733259,0.341702576919732,2.904947145092,-2.23438182138073,-0.504218325319264,0.399767505791801,0.415126938909542,-0.0274254208046711,-4.49769029503341,1.12043475580178,-1.40449346623717,0.623000188016863,NA,13,-83.5889082663157,195.424730112878,15.4031760051847,1.99993974045146e-05
"3564",-1.08466317611601,4.52853112926155,0.0729218022078105,NA,-2.3331631271561,NA,0.642117652630096,0.706695266635583,0.426943767119062,-4.46127405628219,NA,-0.636273291755231,0.547737120101029,NA,10,-87.052596802265,195.438526937863,15.4169728301697,1.98619080858709e-05
"900",-1.29326496911206,4.86694813613861,-0.209118778759762,NA,NA,NA,NA,NA,-0.660979067501661,-4.23673820550484,0.568361072480439,NA,NA,NA,6,-91.4722853716523,195.441612163423,15.4200580557293,1.98312924727153e-05
"5464",-1.59995487739695,4.06089681013117,0.159708688874565,1.98394877039785,NA,-1.20755472892355,NA,0.715245116806108,NA,-4.24921989771059,NA,-1.20217691696772,NA,0.0101231631978517,9,-88.1807432001318,195.445823749661,15.4242696419674,1.97895758122285e-05
"5996",-0.655465225543648,4.67905368519838,0.0596483938703557,NA,-2.27921906298878,NA,0.476099973558166,0.505583018840967,NA,-4.24734178189759,0.56955960007983,-0.69183722838634,NA,-0.269984243137245,10,-87.0568773591682,195.44708805167,15.4255339439761,1.97770697652751e-05
"2504",-2.71324433910942,5.58010721153523,-0.0855346404265613,2.09896701074195,NA,NA,NA,0.00414011425680811,-1.29096197656735,-4.55726407961936,NA,NA,1.01847665492816,NA,8,-89.2946138118433,195.451503072788,15.4299489650947,1.97334598273445e-05
"4008",-3.02849175548469,5.10744658668598,0.287797264098167,2.74902917225795,NA,NA,-0.969371756921805,NA,-0.689313418988806,-3.76320255796585,1.6531977015575,-1.86338920013307,0.967761008020062,NA,10,-87.0595180217424,195.452369376818,15.4308152691244,1.97249140903959e-05
"8128",-2.11338867142979,4.65292194249674,0.36307141345911,2.92191493786611,-2.23443807581643,-0.473148905981089,0.413742376377296,NA,-0.086972924347698,-4.33052485640065,1.20643505199684,-1.30743882953066,0.663712959503176,-0.177742005956478,13,-83.602856011786,195.452625603819,15.4310714961252,1.9722387224473e-05
"5908",-0.480507622036467,3.75555354636815,0.149638098201121,NA,NA,-1.25266583424847,NA,NA,NA,-3.63796390018695,1.28192404173039,-1.42928743701379,NA,-0.150225813722437,8,-89.2952904635611,195.452856376224,15.4313022685304,1.97201116643917e-05
"6518",-1.71631278388103,4.20136033358825,NA,2.06059488989234,NA,-1.01215429623779,-1.08733785710098,0.40585108513225,NA,-4.59062966142118,NA,NA,0.736916332853793,-0.305326857072545,9,-88.1866322339695,195.457601817337,15.436047709643,1.96733768163662e-05
"504",-1.10234024309859,4.70742123968499,-0.070890699876228,2.1670564230574,NA,-1.10845892334237,-1.15083731395091,0.459832705164333,-1.21612905404677,-4.52994357982973,NA,NA,NA,NA,9,-88.1913309607231,195.466999270844,15.4454451631501,1.9581153829369e-05
"5574",-2.33445245160176,5.02021962669961,NA,2.07562185121904,NA,NA,NA,0.502563959448395,-0.608020972027269,-4.14438852376466,NA,-0.996090218662112,NA,0.031655874737234,8,-89.3028896654987,195.468054780099,15.4465006724056,1.95708225112598e-05
"2028",-0.901561337688769,4.36448523589053,0.0886907958250606,NA,-2.33228316083852,NA,0.644271412046604,0.505042061035865,0.565327502554775,-4.28244240069412,0.59393493752268,-0.819968957799244,NA,NA,10,-87.0685207192622,195.470374771858,15.4488206641641,1.9548133599859e-05
"4377",2.86384225117425,NA,NA,NA,-1.83004828785524,-1.65265795817707,NA,NA,NA,-4.38500346439738,NA,NA,NA,-0.204054646877844,5,-92.5611728854414,195.475286947353,15.4537328396596,1.95001805809495e-05
"1497",1.23570775745731,NA,NA,NA,-1.91567138202638,-1.30812199889102,NA,0.590920927974444,2.53397016581286,-4.15150438555561,NA,-0.980188834408582,NA,NA,7,-90.4074464431782,195.481559553023,15.4600054453294,1.9439117914872e-05
"8076",-0.636617863824129,4.43219021745779,0.124327673539029,NA,-2.02216003838569,NA,NA,NA,0.21224940599521,-3.94326084009896,0.64068706901255,-0.706541152946594,0.544796359241559,-0.386419614513626,10,-87.0742771660293,195.481887665392,15.4603335576982,1.94359290689409e-05
"1940",-0.474953572633459,3.84041522668333,0.146277511586818,NA,NA,-1.25512805077881,NA,NA,-0.182443862551547,-3.66677739958077,1.25747397016638,-1.40741433077411,NA,NA,8,-89.3123633513609,195.487002151824,15.46544804413,1.9386290167608e-05
