"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"8000",-3.48823400601305,4.21840783821621,0.212419242254857,1.37604537699833,-0.631827247844198,0.179171711556264,0.29230992342756,NA,NA,-2.78794863099138,-0.635989001073482,1.33399583500822,-0.0868295584183988,-0.222356904499235,12,-73.4865989794383,172.887308388325,16.003420337309,3.32735716169002e-06
"3235",-2.53766279403741,NA,0.0240522012413659,NA,NA,NA,0.0863492043117572,NA,2.39992910293663,NA,NA,-0.232872118521119,-0.439998442015808,NA,6,-80.1953213590841,172.887684138287,16.0037960872711,3.32673209324552e-06
"1039",-1.89685230519659,NA,-0.0484472501468859,1.18023325710881,-0.507756332333664,NA,NA,NA,NA,NA,NA,-0.127389656631172,NA,NA,5,-81.268055974374,172.889053125219,16.005165074203,3.3244557460259e-06
"1251",-2.42922724143663,NA,0.0693319104440272,NA,NA,NA,0.170871288980552,-0.575426797142529,2.23312236710907,NA,NA,-0.0674778489538012,NA,NA,6,-80.1975777671351,172.892196954388,16.0083089033729,3.3192340906251e-06
"8120",-3.37375278184441,4.77961090063783,0.203854529302252,1.37880781517501,NA,-0.0438523115405215,0.103920254884024,NA,-1.17644939889898,-2.84541977986703,-0.464497200309445,1.30810950405743,0.0246352264900079,-0.203374862181052,12,-73.4901004513403,172.894311332128,16.0104232811128,3.31572688750243e-06
"1835",-0.350117299868286,NA,-0.0198572290232521,NA,-0.54454242571114,NA,0.444366465368482,NA,NA,-2.90175981926116,-0.987915616075489,1.21733348982103,NA,NA,7,-79.1143626198363,172.895391906339,16.0115038553236,3.31393592688004e-06
"4431",-1.10025857973387,NA,0.235600306048219,1.33183945113441,-0.370685855301926,NA,NA,0.17970918548016,NA,-2.65266541010265,NA,NA,NA,-0.0934900647793417,7,-79.1145008071215,172.89566828091,16.0117802298941,3.31347801471048e-06
"3869",-0.318328293109138,NA,NA,1.09012465806937,-0.319682383239024,-0.929269666332888,NA,NA,NA,-2.84553593234681,-0.685479838656038,1.1624716220654,-0.4890158614811,NA,8,-78.0185410058895,172.899357460881,16.0154694098651,3.30737163995752e-06
"877",-1.25650894787478,NA,NA,1.25850844606455,-0.408035943046947,NA,0.347536438916425,0.419531414183655,NA,-2.57140218950614,-0.306095048289781,NA,NA,NA,7,-79.1200515186785,172.906769704024,16.0228816530082,3.29513680447565e-06
"2861",-1.03766796371354,NA,NA,1.29658342853977,-0.384030622927074,NA,0.363171761340656,NA,NA,-2.35650891925017,-0.0936424934475117,NA,-0.323386844880454,NA,7,-79.1214787764896,172.909624219646,16.0257361686302,3.29043714934059e-06
"6937",0.0566923275360368,NA,NA,NA,0.0702085508667872,-0.964344121895414,NA,NA,NA,-2.14840980139758,-0.0142899758690059,NA,-0.414396095637174,-0.0863777685982267,7,-79.1215117477638,172.909690162194,16.0258021111788,3.29032866122339e-06
"6445",-1.05015748597134,NA,NA,1.29940862805052,-0.383229444976192,NA,0.357026026107216,NA,NA,-2.37635977728997,NA,NA,-0.330871620542441,-0.0316178517488613,7,-79.1245578725193,172.915782411705,16.0318943606897,3.28032115942248e-06
"2893",-0.999881961953025,NA,NA,1.26973005337774,-0.370749073710114,NA,NA,0.454985920465256,NA,-2.55462544042657,-0.230552565882073,NA,-0.330695487356819,NA,7,-79.1311329867835,172.928932640234,16.0450445892181,3.25882342545395e-06
"4921",-0.256670700666428,NA,NA,NA,0.0298359024538443,-0.921159046859444,0.352389307130781,NA,NA,-2.18970766539666,-0.105002217994303,NA,NA,-0.133611892667002,7,-79.1320394040908,172.930745474848,16.0468574238328,3.25587090980741e-06
"7593",-1.37678319372574,NA,NA,NA,-0.558004347064554,NA,0.357052725244006,NA,2.15005705730947,-2.6519769330917,NA,0.743299315537983,-0.579698713545416,-0.205389492021053,8,-78.0342865724471,172.930848593996,16.0469605429803,3.25570304281859e-06
"7152",-4.10039934189869,4.73177518579555,0.36546560069139,1.53777895699756,-0.393064324961867,NA,0.0432261505256042,1.54311294240984,-0.533039561692724,-2.92066636837969,-0.310137831951162,NA,0.0596306255349596,-0.194140533934568,12,-73.5087839965422,172.931678422532,16.0477903715166,3.25435248537543e-06
"7136",-4.09668948568837,4.74102861060513,0.369993796349598,1.54017656210088,-0.386313424523356,0.0087154948398416,NA,1.54790746622008,-0.532911663622686,-2.92403156364603,-0.307830039042046,NA,0.059573635309826,-0.194128992795116,12,-73.5096263417114,172.933363112871,16.0494750618551,3.25161235151172e-06
"3913",-0.0770991251068668,NA,NA,NA,-0.50845749105814,NA,NA,0.223319219913361,NA,-2.94726719546107,-0.941578647345226,1.15745885036254,-0.374020220281124,NA,7,-79.13340468659,172.933476039847,16.049587988831,3.25142875931997e-06
"5120",-4.07761967762373,4.72207262052948,0.36560223599539,1.53734096394395,-0.400347377721212,0.00839975557349653,0.0429982429534564,1.53993574710285,-0.518406269325381,-2.91679239864731,-0.302450665840486,NA,NA,-0.186665690714387,12,-73.5102393695777,172.934589168603,16.0507011175878,3.24961963338795e-06
"7945",0.0111513444148647,NA,NA,NA,-0.498045746167839,NA,NA,NA,NA,-2.85574900372022,-0.869384261964407,1.20777683413081,-0.356418036392108,-0.118559022314437,7,-79.1350495835359,172.936765833738,16.0528777827228,3.24608489034572e-06
"1699",-2.62756936086257,NA,0.0211949487101239,NA,NA,NA,0.126642156436367,NA,2.34693739566507,NA,-0.464110205907404,-0.0937513413832732,NA,NA,6,-80.2203018417317,172.937645103582,16.0537570525661,3.24465811172317e-06
