"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1192",-2.75844732308057,-0.00449188665770113,-2.32968495112962,1.54477519124532,NA,NA,-1.73615972213707,NA,1.95528800508721,NA,NA,4.31589993129311,NA,NA,7,-91.3325323691015,197.33173140487,14.3080751571135,2.12485408870732e-05
"5207",-1.26609265968466,NA,-2.23180077456083,1.46332925793596,NA,-1.69066710529302,NA,-0.558466863908704,NA,NA,NA,4.06143719674347,NA,0.0492169022862654,7,-91.334079219435,197.334825105537,14.3111688577804,2.12156979825945e-05
"7517",-2.33272528309831,NA,NA,1.98983346666391,-2.15593416300937,-1.01662335711212,NA,-1.50048202630295,NA,1.0648028348377,NA,5.12059567199826,0.451928841147715,-0.346011391810075,9,-89.1254429352509,197.335223219899,14.3115669721432,2.12114752658475e-05
"1188",-2.08692850816495,-0.0416097317609242,-2.22885649526688,NA,NA,NA,-1.47579427813438,NA,2.05870363164236,NA,NA,4.30313589487509,NA,NA,6,-92.4197511519182,197.336543723955,14.3128874761986,2.11974749686639e-05
"1251",-2.05743703151213,NA,-2.24121439934857,NA,NA,NA,-1.47139733691902,-0.0455903301866801,2.06059147796437,NA,NA,4.29342891557597,NA,NA,6,-92.4222543752125,197.341550170543,14.3178939227872,2.11444793131948e-05
"3708",-0.0193138683116153,0.129455669469789,-2.93318972840526,NA,-2.39170065716188,-1.29568949680003,0.0970161781330733,-0.109822746756076,NA,NA,0.454887167960416,4.38816356842015,0.452545903199493,NA,10,-88.0072815323623,197.347896398058,14.3242401503017,2.10774918106854e-05
"3889",-2.15976575160992,NA,NA,NA,NA,-1.4680140038855,-0.881442883067912,NA,NA,1.75722930347679,-2.08105821155333,4.8294496189821,0.632110375457291,NA,7,-91.3462828015037,197.359232269674,14.3355760219179,2.09583638638047e-05
"1834",-2.14380000162269,-0.037558850569704,NA,NA,-1.83041505268247,NA,-0.277502894165794,NA,NA,1.45125064385419,-1.57789814752492,5.23934978526556,NA,NA,7,-91.3466365187082,197.359939704083,14.3362834563269,2.09509518408854e-05
"1575",-1.88946584250109,NA,-1.75782648029663,1.73003630291782,NA,NA,-1.82104313873535,NA,NA,NA,-0.626903396616181,4.47812976114322,NA,NA,6,-92.4318308427428,197.360703105604,14.3370468578478,2.09429563726701e-05
"5741",-2.17671299150428,NA,NA,2.06781105492465,-2.24747147527283,NA,-0.354299556061301,-0.55416137218173,NA,NA,-0.90598233016268,4.89689504294189,NA,-0.14566002875384,8,-90.2540485990757,197.370372647253,14.3467163994971,2.08419463551201e-05
