"surfacearea_ha","shoreline_development","depth_max_m","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","waterbodies_1km","waterbodies_5km","waterbodies_10km","boatlaunch","dist_waterfowl","nearest_LM","nearest_SP","nearest_W","nearest_LMSPW"
19.51,1.897,7.92,0.003,5,20.05,0.75,5.6,0,10,39,1,9.077,5.6403,5.6403,5.6403,5.6403
33.18,1.638,4.267,0.007,6.05,44.05,7.5,3,2,19,73,1,3.2105,20.9058,16.6439,20.9058,16.6439
4.86,1.213,4,0.0895,6.7,262.5,72.38,1.2,0,15,76,0,13.5621,7.4543,11.0184,7.4543,7.4543
26.71,1.491,4,0.1574,7.3,257,112.15,2,1,12,40,1,5.9101,23.9375,24.7205,46.6225,23.9375
69.61,1.996,10.668,0.0138,6.1,103.5,11.44,2.35,1,12,56,1,11.8128,4.5363,16.1411,4.5363,4.5363
12.71,1.315,13,0.0165,7.4,205,35.65,2.5,2,20,70,0,5.4112,1.4747,1.4747,1.4747,1.4747
15.78,1.728,2,0.0185,5.65,75.8,6.75,1.9,2,12,43,0,14.2091,9.9358,9.9358,14.3598,9.9358
24.73,1.659,6,0.0145,7.4,102.5,19.55,1,4,20,74,0,11.6864,2.0559,4.8785,2.0559,2.0559
7.28,1.514,2,0.0415,7.1,156,29.65,0.8,3,18,69,0,20.4847,2.1584,5.3028,2.1584,2.1584
17.12,1.341,1.8,0.044,7.1,154,32.25,1.5,3,21,69,0,34.041,1.4757,5.6849,1.4757,1.4757
11.29,1.964,4,0.004,6.85,44,14.35,1,1,18,80,0,18.1651,2.6594,4.1465,2.6594,2.6594
5.34,1.251,5.1,0.03,6,81,11.63,2.6,4,17,52,1,6.3974,11.1284,9.1489,11.1284,9.1489
2.23,1.359,1,0.05405,6.45,394.5,34.9,0.8,1,16,75,0,7.9483,5.0271,5.0271,5.2201,5.0271
2.39,1.324,5.5,0.006,6.4,52.3,14.3,4,3,14,52,0,28.6271,10.0537,13.2961,10.0537,10.0537
132.74,4.132,7.925,0.02,7.25,238,85.5,2,3,28,85,1,21.465,0.8467,4.5606,11.2927,0.8467
5.79,1.372,2.468,0.0375,5.4,29.5,4.5,1.2,3,17,35,1,2.1363,22.3791,22.3791,22.6158,22.3791
3.08,1.994,2,0.0755,6.05,196.5,31.5,1.5,0,11,40,0,29.8943,8.4657,8.4657,3.3605,3.3605
10.93,2.028,4,0.069,7.05,228.5,55.9,1,2,12,42,0,3.6412,10.5721,10.5721,18.2729,10.5721
82.96,1.58,3,0.014,7.5,116.25,274,2,0,11,41,0,4.2928,45.8879,24.7205,24.7205,24.7205
5.79,1.311,10,0.039,5.8,78.3,12.75,3.7,2,22,64,0,7.8476,1.1467,14.7594,14.4555,1.1467
1.01,1.482,2,0.055,6.6,89.5,29.25,2,1,24,83,0,41.8915,5.0295,15.7229,13.3433,5.0295
4.45,1.378,1,0.038,6.45,112.5,24.4,0.75,0,14,51,0,11.468,2.4022,2.4022,9.4111,2.4022
1.09,1.343,1,0.053,6.8,178,63.9,1.3,1,12,47,0,3.5098,11.1931,4.0868,10.922,4.0868
3.44,1.349,3,0.056,7.65,130,13.9,0.8,1,8,53,0,12.0371,3.0351,3.0351,22.188,3.0351
6.47,1.388,7,0.0545,6.35,111.5,32.25,3.6,0,9,36,0,1.9691,10.1787,10.1787,10.5047,10.1787
9.27,1.183,13.41,0.174,6.35,299,100.5,4.5,3,18,43,0,0.82,0.2313,2.3007,4.8126,0.2313
40.47,2.168,2.134,0.0964,6.925,88.05,17.8125,1.85,1,8,39,0,3.0614,9.9343,14.6175,20.6198,9.9343
50.99,2.115,4,0.034,6.025,72.3,10.325,1.75,4,34,61,1,21.6638,21.1883,19.7055,23.5667,19.7055
1.62,1.252,1.7,0.0165,6.55,54.8,6.3,1.6,2,22,76,0,12.9618,10.2475,11.1815,11.401,10.2475
0.4,1.776,2.5,0.1935,7.1,116,53.63,0.7,1,8,27,0,15.0954,5.3981,5.9759,5.9759,5.3981
59.8,1.528,3,0.0715,6.75,183.5,62.65,0.9,1,9,36,0,6.0013,1.5265,4.0818,4.4947,1.5265
35.7,1.674,3.353,0.0524,7.8,271.25,75.1875,1.4,1,32,110,1,9.8614,5.811,12.6218,12.6218,5.811
14.37,2.145,3,0.0395,6,100.5,33.75,1.5,1,15,58,0,2.9341,3.5635,12.1979,19.6102,3.5635
29.54,1.924,4.877,0.0355,6.2,130,46.13,2.8,2,20,71,1,28.3342,6.678,16.3295,9.2007,6.678
1.46,1.397,2.8,0.1205,6.85,361,180.4,1.2,0,6,59,0,1.9528,9.0589,12.2333,9.3494,9.0589
13.19,1.69,5.49,0.006,5.35,24,1.13,4,0,5,46,0,14.2071,8.2401,9.6849,8.2401,8.2401
0.4,1.115,1.5,0.0455,6.2,125,27.38,1,1,13,36,0,3.9382,0.1811,0.1811,10.922,0.1811
1.78,1.581,1.5,0.105,6,149,33,1,1,14,34,0,13.6629,11.1931,6.9684,0.1811,0.1811
6.56,1.12,8,0.018,5.7,35.85,9,5.4,0,11,33,1,5.5628,27.4834,19.0662,19.9251,19.0662
41.28,2.128,2,0.0132,6.15,23.1,6.75,2,0,15,41,1,28.2138,16.3412,16.3412,16.3412,16.3412
38.77,1.21,6,0.1089,6.225,53.075,11.375,2.95,0,9,22,0,15.0986,12.1566,12.1566,12.1566,12.1566
