"waterbody","date","year","town","latitude","longitude","state","data_source","mult_survey","surfacearea_ha","shoreline_development","depth_max_m","FP_presence","FPcover_avg","FPcover_low_est","FPcover_max","FPcover_min","azolla","eichhornia_crassipes","lemna_minor","lemna_trisulca","lemna_valdiviana","riccia","spirodela_polyrhiza","wolffia","wolffia_borealis","wolffia_brasiliensis","allplant_species_richness","FP_species_richness","nonFP_species_richness","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","alisma","alisma_subcordatum","brasenia","cabomba","callitriche","callitriche_hetero","callitriche_stag","cardamine","ceratophyllum_dem","ceratophyllum_echin","charphyte","decodon","egeria","elatine","elatine_ameri","elatine_minima","eleocharis","eleocharis_acic","eleocharis_ellip","elodea_canad","elodea_nutt","eriocaulon_aqua","fil_algae","glossostigma","gratiola","hydrilla","isoetes","isoetes_acad","isoetes_eaton","isoetes_echino","isoetes_engel","isoetes_lacus","isoetes_tuck","juncus","juncus_pelo","lobelia","ludwigia","ludwigia_pal","marsilea","megalodonta","myosotis","myriophyllum","myriophyllum_alt","myriophyllum_aqua","myriophyllum_hetero","myriophyllum_hetero_lax","myriophyllum_hum","myriophyllum_ten","myriophyllum_sibi","myriophyllum_spic","najas_flex","najas_grac","najas_guad","najas_minor","nasturtium","nelumbo","nuphar","nymphaea_odor","nymphaea_odor_tuber","nymphoides","nymphoides_cordata","peltandra","phragmites","polygonum","polygonum_amphi","polygonum_hydro","pontederia","potamogeton","potamogeton_ampli","potamogeton_berch","potamogeton_biculp","potamogeton_conferv","potamogeton_crispus","potamogeton_epi","potamogeton_foli","potamogeton_grami","potamogeton_ilino","potamogeton_ilino_hybrid","potamogeton_natans","potamogeton_nodos","potamogeton_oakes","potamogeton_palus","potamogeton_perfo","potamogeton_pulch","potamogeton_pusil","potamogeton_prael","potamogeton_rich","potamogeton_robb","potamogeton_spir","potamogeton_zost","proserpinaca","ranunculus","sagittaria","sagittaria_gram","sagittaria_lati","schoenoplectus","sparganium","sparganium_ameri","stuckenia","trapa","typha","typha_latif","sedge","utricularia","utricularia_gemi","utricularia_gibb","utricularia_inter","utricularia_macro","utricularia_mini","utricularia_mino","utricularia_purp","utricularia_radi","utricularia_subu","utricularia_vulg","vallisneria","zannichellia","zosterella"
"Bushy Pond","6/26/2012","2012","Clinton",41.30587,72.52501,"CT","CAES","N",3.44,2.626,11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0.0183,6.3,79.5,20.25,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"Canoe Brook Lake","8/30/2012","2012","Trumbull",41.25132,73.239,"CT","CAES","Y",25.78,2.26,6,"Y",3e-04,3e-04,3e-04,3e-04,0,0,1,0,0,0,0,0,0,0,16,1,15,0.0929,6.95,162,49.5,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cedar Lake","combined","comb","Chester",41.40168,72.49901,"CT","CAES","Y",28.04,1.274,13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,0.0251,6.0333,37.05,8.5333,2.87,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0
"Cedar Pond","8/26/2005","2005","North Branford",41.32061,72.77994,"CT","CAES","Y",8.82,1.281,5.3,"Y",0.001,0.001,0.001,0.001,0,0,1,0,0,0,0,0,0,0,7,1,6,0.0295,6.65,291,93.75,2.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Chaffee Lake","7/20/2009","2009","Ashford",41.93943,72.19431,"CT","CAES","N",21.04,1.603,3.3,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0.0185,7.3,130.5,24.75,2.3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Chalkers Mill Pond","7/22/2005","2005","Old Saybrook",41.30229,72.39669,"CT","CAES","N",4.17,2.115,1,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0.033,5.75,146,19.88,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Chase Reservoir","8/8/2005","2005","Killingly",41.84679,71.83803,"CT","CAES","N",28.77,1.772,3,"Y",5e-04,5e-04,5e-04,5e-04,0,0,1,0,0,0,1,0,0,1,22,3,19,0.0215,6.25,67.5,10.88,2.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"Clear Lake","7/19/2006","2006","Guilford",41.33719,72.74107,"CT","CAES","N",8.09,1.53,2.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0.059,6.2,199.5,28,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coventry Lake","7/15/2008","2008","Coventry",41.77093,72.31974,"CT","CAES","N",150.95,1.859,10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0.0345,6.5,57.5,24,3.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"Crescent Lake","7/27/2005","2005","Enfield",42.02516,72.52218,"CT","CAES","N",14.16,2.058,2.5,"Y",2e-04,2e-04,2e-04,2e-04,0,0,1,0,0,0,0,0,0,0,7,1,6,0.164,5.9,152.5,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake (1)","combined","comb","Middletown",41.52188,72.63876,"CT","CAES","Y",12.55,2.523,6,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0.0375,6.15,121.1125,29.6375,1.45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake (2)","7/22/2005","2005","Old Saybrook",41.30111,72.41396,"CT","CAES","N",2.23,1.969,1.2,"Y",0.093,0.093,0.093,0.093,0,0,1,0,0,0,0,0,0,0,25,1,24,0.0425,6.1,101.15,30.8,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"Crystal Lake (3)","8/25/2005","2005","Ellington, Stafford",41.93605,72.37389,"CT","CAES","N",75.84,1.523,12,"Y",0.01,0.01,0.01,0.01,0,0,1,0,0,0,1,0,0,0,6,2,4,0.055,7.05,147,60,2.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Crystal Pond","7/16/2009","2009","Woodstock",41.92278,72.09932,"CT","CAES","N",58.68,1.82,5,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0.0805,6.2,63.55,14.65,2.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
"Cusick Pond","9/9/2009","2009","Bethany",41.38917,73.03082,"CT","CAES","N",0.08,1.081,2,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0.0185,6.55,82.5,55.15,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dayton Pond","7/8/2005","2005","Wallingford",41.40869,72.80267,"CT","CAES","Y",2.67,2.669,2,"Y",0.0037,0.0037,0.0037,0.0037,0,0,1,0,0,0,1,0,0,0,8,2,6,0.067,6.8,208,87.38,1.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deer Lake","9/14/2009","2009","Killingworth",41.34356,72.58872,"CT","CAES","N",12.95,2.188,2.3,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0.017,5.8,65.6,21.4,1.3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"Deer Lake Reservoir","9/14/2009","2009","Killingworth",41.34116,72.59215,"CT","CAES","N",2.43,1.313,5,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0.017,5.8,65.6,21.4,3.7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"Diamond Lake","7/14/2006","2006","Glastonbury",41.69494,72.48231,"CT","CAES","N",8.09,1.339,4,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0.011,6.45,67.5,5.65,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dividend Pond, Lower","6/20/2012","2012","Rocky Hill",41.64631,72.63289,"CT","CAES","N",0.53,1.58,1,"Y",0.0635,0.0635,0.0635,0.0635,0,0,1,0,0,0,0,0,0,0,3,1,2,0.0521,7.55,355.5,69.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dividend Pond, Upper","6/20/2012","2012","Rocky Hill",41.64575,72.63426,"CT","CAES","N",2.35,1.608,1,"Y",0.0292,0.0292,0.0292,0.0292,0,0,1,0,0,0,0,0,0,0,7,1,6,0.1733,7.4,331,69.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doaneville Pond","7/7/2011","2011","Griswold",41.56392,71.87308,"CT","CAES","N",27.68,1.559,2,"Y",2e-04,2e-04,2e-04,2e-04,0,0,1,0,0,0,1,1,0,0,21,3,18,0.0515,6.05,58.1,6.7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Dog Pond","8/5/2005","2005","Goshen",41.81353,73.2388,"CT","CAES","N",26.63,1.238,3.353,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0.043,6.9,145,49.88,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunlop Pond (Unnamed Lake with Dam #3036)","9/1/2005","2005","Darien",41.07916,73.46074,"CT","CAES","N",2.99,1.435,4,"Y",0.1859,0.2478,0.2478,0.1239,0,0,1,0,0,0,0,0,0,1,6,2,4,0.0975,6.6,487.5,73.5,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Echo Lake","9/7/2005","2005","Watertown",41.60138,73.09778,"CT","CAES","N",4.33,1.406,2,"Y",0.008,0.008,0.008,0.008,0,0,1,0,0,0,0,0,0,0,6,1,5,0.048,6.45,193.5,26.25,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elise Lake","7/12/2011","2011","Middlebury",41.52323,73.14099,"CT","CAES","N",6.27,1.548,2,"Y",0.0017,0.0017,0.0017,0.0017,0,0,1,0,0,0,1,0,0,0,15,2,13,0.055,6.75,173,18.8,1.2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fall Mountain Lake","9/15/2009","2009","Terryville",41.64861,72.98933,"CT","CAES","N",12.14,1.596,1.7,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0.012,6.65,183,24.05,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Farm Brook Reservoir","6/26/2012","2012","Hamden",41.39612,72.9421,"CT","CAES","N",6.07,1.194,2,"Y",0.0016,0.0016,0.0016,0.0016,0,0,1,0,0,0,0,0,0,0,8,1,7,0.1647,7.55,51,13.5,0.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fence Rock Lake","combined","comb","Guilford",41.32004,72.67371,"CT","CAES","Y",6.84,1.412,5,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0.0295,6.28,75.06,14.395,2.28,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Forest Lake","9/13/2007","2007","Bridgeport",41.21996,73.20664,"CT","CAES","N",26.71,2.158,6,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.016,6.6,143,17.25,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gables Pond","8/3/2009","2009","Farmington",41.74178,72.84136,"CT","CAES","N",5.58,1.622,3,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0.014,7.1,183,45.05,2.6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gardner Lake","7/24/2006","2006","Bozrah, Montville, Salem",41.50874,72.22279,"CT","CAES","N",214.08,1.636,11.887,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0.011,6.1,78.95,9.75,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gladstone Pond","8/10/2006","2006","Killingworth",41.39102,72.5576,"CT","CAES","N",0.32,1.319,2.5,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0695,5.75,76,15,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Great Hill Pond","8/11/2006","2006","Portland",41.57392,72.56294,"CT","CAES","N",30.76,1.372,2.743,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0.002,6.15,52,8.85,2.4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
"Green Falls Reservoir","8/2/2005","2005","Voluntown",41.53006,71.80907,"CT","CAES","N",19.51,1.897,7.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0.003,5,20.05,0.75,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Halls Pond, Ashford","8/1/2005","2005","Eastford",41.84019,72.10908,"CT","CAES","N",33.18,1.638,4.267,"Y",8e-04,8e-04,8e-04,8e-04,0,0,0,0,0,0,1,0,0,0,19,1,18,0.007,6.05,44.05,7.5,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
