"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"1494",-6.90637446895859,-0.346903069004384,NA,0.482611068590275,NA,4.2513501085253,NA,1.40514863673073,-0.212703054664906,0.798085752517352,NA,-0.761636264720034,8,-89.7135838617167,196.299894996161,14.2895388589341,3.84621754748658e-05
"123",-6.54808589127174,NA,1.07267319478733,NA,-0.0829896679540604,0.642707809576578,-1.07497052027879,0.118401130859442,NA,NA,NA,NA,6,-91.8992264304353,196.301446872847,14.2910907356201,3.84323427738249e-05
"284",-3.78516781888377,-0.283285486442416,0.849864363585453,NA,-0.190437000159392,0.710366112739212,NA,NA,NA,0.594700238478764,NA,NA,6,-91.9024794388694,196.307952889715,14.2975967524884,3.83075251650737e-05
"108",-5.58111869898674,-0.1571495115028,1.11515553984416,NA,-0.0625203694980417,NA,-1.05557795997559,0.140003493821402,NA,NA,NA,NA,6,-91.9029262228027,196.308846457581,14.2984903203549,3.82904138011336e-05
"703",-9.15555479561366,NA,1.16191743836174,0.40986194307411,-0.0445662180122571,0.536123584690285,-0.993036561382137,NA,-0.0776130671230181,NA,0.388138161454291,NA,8,-89.7211839871315,196.31509524699,14.3047391097637,3.81709661330234e-05
"468",-5.42681130016789,-0.120943014647091,0.824666991535567,NA,NA,1.38758917346788,NA,0.982119426354731,-0.190635621857054,0.620912345348339,NA,NA,7,-90.8210255279372,196.316749851055,14.3063937138286,3.8139400274211e-05
"696",-9.31927662529744,-0.0562149178680017,1.16904523840349,0.406056697654878,NA,0.55964338119025,-1.00658944248652,NA,-0.0796623951722362,NA,0.39039844669765,NA,8,-89.723615964102,196.319959200931,14.3096030637048,3.80782480123109e-05
"417",1.7452299025264,NA,NA,NA,NA,NA,-0.777603052576026,NA,-0.0697152940984832,0.6276800822622,NA,NA,4,-94.0528153992535,196.34231718904,14.331961051813,3.76549419803652e-05
"285",-3.77894387922386,NA,NA,0.423729711535846,-0.500315676188884,2.97024355380947,NA,NA,NA,0.715199626564125,NA,NA,5,-92.9928423844109,196.342827625965,14.332471488738,3.76453329702165e-05
"1810",-7.96514995523668,-0.579569483123106,NA,NA,NA,3.2257660240999,NA,NA,NA,0.822908699862852,1.11438501753679,-0.803565210934824,6,-91.9204844560647,196.343962924105,14.3336067868788,3.76239696959459e-05
"1425",-4.895836009196,NA,NA,NA,NA,3.81474421179187,NA,NA,-0.156433498961968,0.721261851497473,NA,-0.602643422515551,5,-92.9939482239375,196.345039305018,14.3346831677913,3.76037262824243e-05
"908",-5.66681511477291,-0.163444991222181,0.888642316606705,NA,-0.0459656784937426,NA,NA,NA,-0.122039379428783,0.625254370912818,0.749053126967064,NA,7,-90.8368244220664,196.348347639314,14.337991502087,3.754157485237e-05
"1667",-9.05804869823919,NA,1.29146129821919,NA,NA,NA,NA,NA,-0.186874626457341,NA,0.744131867185554,-0.831122916733032,5,-92.9962121052591,196.349567067661,14.3392109304346,3.75186921987247e-05
"1792",-10.6579039236028,-0.153050425710731,1.28704819666292,0.524590838746989,-0.02481829299246,0.532209359706376,-1.00811342341892,0.539184824968544,-0.0691916783768286,NA,0.647503597598523,-1.00861630236956,11,-86.3613420111115,196.352313651853,14.3419575146261,3.74672034379304e-05
"255",-7.92648399959014,NA,1.16001755010045,0.43634108556876,-0.0911833289782064,0.624598139188907,-0.95280129385965,0.53128131910138,-0.101497834668277,NA,NA,NA,8,-89.7398505269712,196.35242832667,14.342072189443,3.74650552271704e-05
"1446",1.40366237789909,-0.341233284898203,NA,0.414612957031597,NA,NA,-0.810932091798589,NA,-0.00970288898718634,0.665710337613903,NA,-0.715662009619649,7,-90.8441396657953,196.362978126771,14.3526219895448,3.72679511147213e-05
"933",-2.04868810286852,NA,NA,0.304462081340733,NA,NA,-0.764186426816348,NA,-0.0792947151227023,0.696625386960875,0.839854795754908,NA,6,-91.9309605775524,196.364915167081,14.3545590298544,3.72318738265491e-05
"688",-8.35387017103127,-0.0532199906964657,1.20035306882307,0.41441270816591,-0.052137864327364,NA,-0.987028622408026,NA,-0.0689628100118777,NA,0.392969345686314,NA,8,-89.749027015883,196.370781304493,14.3604251672667,3.71228301769891e-05
"248",-8.25555574986619,-0.05481821723785,1.17721104384301,0.428050015445528,NA,0.681145082393543,-0.985713118005056,0.486732847691842,-0.107492803897743,NA,NA,NA,8,-89.7664049149296,196.405537102586,14.3951809653598,3.64832864397444e-05
"357",0.901636994229171,NA,NA,0.346067776495362,NA,NA,-0.875681245350591,0.351704250565505,NA,0.682373603264619,NA,NA,5,-93.0286333444281,196.414409545999,14.4040534087725,3.63217969589363e-05
"2029",-2.33298521233735,NA,NA,0.433029847555415,-0.292497026059201,NA,-0.689967184298331,0.948634131210855,-0.0546447306172405,0.731109928257975,1.05779774739814,-0.87788108309509,9,-88.6589808168624,196.415522609335,14.405166472108,3.63015883525852e-05
"469",-6.62688641518609,NA,NA,0.392485147137909,NA,3.96387187210633,NA,1.24720793645852,-0.255404872837681,0.786427501325478,NA,NA,6,-91.9586475433265,196.420289098629,14.4099329614025,3.62151757984867e-05
"240",-6.97352272216149,-0.041690586603412,1.20651722420879,0.442024411048871,-0.100936145037979,NA,-0.946257261510268,0.517211655217591,-0.0917764565155955,NA,NA,NA,8,-89.7811053478102,196.434937968348,14.4245818311212,3.59508891590897e-05
"2034",-8.60982073881492,-0.204675296951614,NA,NA,NA,3.4606413522284,-0.751246703441555,0.802462915959505,-0.102520096504745,0.675870458976528,1.06571065942326,-0.802202593934161,9,-88.6754994639569,196.448559903524,14.4382037662971,3.57068607962616e-05
"1430",-6.11446497122183,-0.353786186272818,NA,0.453802283450327,NA,4.04461400002943,NA,NA,-0.126338242780595,0.759844745002243,NA,-0.721822359849094,7,-90.8883812176974,196.451461230575,14.4411050933489,3.56550997087172e-05
"1489",-5.51243850231668,NA,NA,NA,NA,3.97472684777928,NA,1.2772764733391,-0.234201649823721,0.754579296622542,NA,-0.630721327581101,6,-91.982244771579,196.467483555134,14.4571274179076,3.53706020190016e-05
"340",-4.55639808708487,-0.419476411914733,0.90823178705532,NA,NA,0.751348756844488,NA,0.365885495849274,NA,0.652863904624647,NA,NA,6,-91.9828704210918,196.46873485416,14.4583787169332,3.53484793403248e-05
"438",-5.68428748687331,-0.215256600805524,NA,0.368668934190591,NA,3.53441199809218,-0.737683081005263,NA,-0.0737645494658723,0.624844550656376,NA,NA,7,-90.9203217039251,196.515342203031,14.5049860658044,3.45342539551502e-05
"865",-1.79243503199122,NA,NA,NA,NA,NA,-0.8939370496563,0.180102942068592,NA,0.697042751761925,0.897903998527556,NA,5,-93.0908601432391,196.538863143621,14.5285070063945,3.41304937459396e-05
"445",-5.31500466508986,NA,NA,0.378243119844473,-0.130369240006337,3.43637974836993,-0.708369432799423,NA,-0.0703091246749827,0.61205662458424,NA,NA,7,-90.9353877526672,196.545474300515,14.5351181632886,3.40178589855068e-05
"1500",-5.3295986377571,-0.166990062269789,0.915523593482885,NA,-0.0360432959290724,1.36520916069298,NA,1.05101713603592,-0.156803274296811,0.615708449180691,NA,-0.777972851463912,9,-88.7305415530631,196.558644081736,14.5482879445094,3.37945910096424e-05
