"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"36",-7.91708284980753,1.04615796232104,1.25492043716029,NA,NA,NA,-1.13159591678839,NA,NA,NA,NA,NA,4,-58.3352861280725,124.907258646678,0,0.0134171086022136
"548",-4.17853788719196,1.12299327828303,1.35573831283296,NA,NA,NA,-1.10332803061458,NA,NA,NA,-1.07520086358312,NA,5,-57.4726716533022,125.302486163747,0.395227517069671,0.0110112435911537
"292",-6.19912377167805,1.05867313631436,1.11280678355928,NA,NA,NA,-0.874167908761777,NA,NA,0.362704831949642,NA,NA,5,-57.4871727652918,125.331488387726,0.42422974104889,0.0108527204733093
"35",-7.2284554608971,NA,1.15040593812201,NA,NA,NA,-0.913813580621432,NA,NA,NA,NA,NA,3,-59.7501308619547,125.641438194498,0.734179547820148,0.00929466779209548
"100",-7.37157304725312,1.15982503966128,1.23760982212425,NA,NA,NA,-1.05937444622215,-1.14304122659796,NA,NA,NA,NA,5,-57.7592424524799,125.875627762103,0.968369115425148,0.0082676151700784
"1060",-7.75646284830755,1.05247968552435,1.29106880102328,NA,NA,NA,-1.11924864405238,NA,NA,NA,NA,-0.523830400642307,5,-57.763576727521,125.884296312185,0.977037665507311,0.00823185859738447
"804",-2.91622250667187,1.12483967119364,1.21636096897819,NA,NA,NA,-0.872231918272165,NA,NA,0.336560349399995,-0.982480722145496,NA,6,-56.7671298941526,126.037253800281,1.12999515360367,0.00762576829294131
"291",-5.57350328301046,NA,1.0155232128609,NA,NA,NA,-0.668492035231353,NA,NA,0.351396494516121,NA,NA,4,-58.9427936959853,126.122273782503,1.21501513582558,0.0073083906049207
"259",-5.45597558716251,NA,1.03894880469873,NA,NA,NA,NA,NA,NA,0.504397308887237,NA,NA,3,-60.0475487766263,126.236274023841,1.32901537716326,0.00690346158898936
"1316",-6.06751832713612,1.06363537319658,1.15362986145804,NA,NA,NA,-0.851077864693572,NA,NA,0.361937529047753,NA,-0.52607802752539,6,-56.9260423634774,126.355078738931,1.44782009225332,0.00650532197852627
