"","(Intercept)","log(COND_avg)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","nonFP_species_richness","df","logLik","AICc","delta","weight"
"14",-4.04385951597237,0.801692776931355,NA,-0.551726180140522,-0.203436424435118,NA,NA,NA,4,-175.941272654145,360.119231698822,4.00067170305294,0.0243800310114512
"70",-4.27748221186619,0.823764167468251,NA,-0.591832034954531,NA,NA,NA,0.00408006419985135,4,-176.023707966958,360.284102324448,4.16554232867941,0.0224508636468867
"48",-3.53016176406158,0.689794128417088,0.295134545657056,-0.403835853145853,-0.0391498834021107,NA,0.210429472576749,NA,6,-173.896979831292,360.296953674561,4.17839367879151,0.0223070641914323
"8",-4.41583786618138,0.795637846842807,0.167793550117585,-0.571655312033747,NA,NA,NA,NA,4,-176.048483207034,360.3336528046,4.215092808831,0.0219014718684051
"22",-4.18011096620592,0.810096367182733,NA,-0.579510055430955,NA,0.00669421840529505,NA,NA,4,-176.05546841843,360.347623227393,4.22906323162402,0.021749018536774
"50",-3.01302513020707,0.726297661347471,NA,NA,NA,-0.0275854943977983,0.293551912965743,NA,4,-176.398120388037,361.032927166607,4.91436717083764,0.015439307030787
"98",-2.93739042805262,0.71587740415856,NA,NA,NA,NA,0.301530084370667,-0.00437000990098205,4,-176.483106808682,361.202900007897,5.08434001212834,0.0141813857431825
"42",-3.02089404395773,0.734293423657364,NA,NA,-0.110542112112571,NA,0.303978189496244,NA,4,-176.49855778526,361.233801961053,5.11524196528433,0.0139639535795181
"36",-3.39212564781752,0.718651013201853,0.225160217627427,NA,NA,NA,0.312581969853639,NA,4,-176.511440179312,361.259566749157,5.14100675338835,0.013785218168824
"126",-3.30476475442737,0.750959513468321,NA,-0.47346002955858,-0.19760563331634,0.0274629017667806,0.216925391944109,0.00835215457455501,7,-173.639809148203,361.954317091586,5.83575709581675,0.00973981087070828
"112",-3.87254027324864,0.727841266360789,0.352773760150614,-0.453718709531876,-0.130615397703589,NA,0.216113677687499,0.0106886404126822,7,-173.663259392573,362.001217580328,5.88265758455867,0.00951406714332353
"78",-4.21184573320226,0.827735218871432,NA,-0.585923175862993,-0.268473334720776,NA,NA,0.00713282900498438,5,-175.834855934874,362.026854726891,5.90829473112194,0.00939288870308863
"120",-3.7719324764965,0.726748553500902,0.288468829593368,-0.463138743681713,NA,0.012883040434055,0.223545213122589,0.00800350678349593,7,-173.686288321062,362.047275437305,5.92871544153576,0.00929747192156975
"30",-4.07530136545135,0.809444220765711,NA,-0.58360606693692,-0.298562378908511,0.0262620512027294,NA,NA,5,-175.857166931273,362.071476719688,5.95291672391892,0.00918564450610196
"64",-3.40972108802251,0.706430341377727,0.196209369624601,-0.445115570385128,-0.155295566801666,0.0349727484169072,0.214513797410619,NA,7,-173.755221007368,362.185140809917,6.06658081414758,0.00867816274121048
"16",-4.33114895581258,0.788620439904368,0.187708603325276,-0.554035469572458,-0.206579488801072,NA,NA,NA,5,-175.923783940897,362.204710738938,6.08615074316873,0.00859366132267982
"72",-4.60587283115543,0.811052979230318,0.205962727259229,-0.596940281195609,NA,NA,NA,0.00447036062026121,5,-176.002735941163,362.362614739468,6.24405474369905,0.0079412673288937
"86",-4.27767786102647,0.823760503976383,NA,-0.592486182663058,NA,0.000674505545363763,NA,0.00401147449680054,5,-176.023647484018,362.404437825178,6.28587782940889,0.00777692746554464
"24",-4.41378900728838,0.798794478588429,0.154658674648468,-0.579964597019732,NA,0.00554939958514114,NA,NA,5,-176.043693662716,362.444530182575,6.32597018680588,0.00762258197508736
"52",-3.50354210054761,0.699640118129823,0.335797546917322,NA,NA,-0.0304529743820299,0.295503031996421,NA,5,-176.350751306303,363.058645469748,6.94008547397914,0.00560723378005566
"114",-2.98629212206829,0.722072841013321,NA,NA,NA,-0.0254863833594428,0.292617106407249,-0.00109432297537767,5,-176.395749719927,363.148642296996,7.03008230122725,0.00536050987755987
