"","(Intercept)","COND_avg","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"37",-2.51419032826727,NA,NA,-2.50783312129766,NA,NA,3.42459595021132,3,-61.5170110585049,129.175198587598,3.75249956408184,0.0160290056005937
"56",-3.80037887879705,3.53476737135454,-0.92423129323011,-2.9427577546465,NA,0.940329264505467,2.60160604599224,6,-58.3602354462588,129.223464904494,3.80076588097744,0.015646805466436
"58",-4.93297300154324,3.21776237791578,NA,NA,-1.39861274968922,0.591984550057323,3.2425320531786,5,-59.5054308137452,129.368004484633,3.94530546111709,0.0145559083379537
"48",-3.03790211870449,3.23134959122821,-0.634186687199419,-2.30816859633025,-0.922162058390144,NA,2.1102758204237,6,-58.4606365945186,129.424267201013,4.00156817749702,0.0141521368148726
"44",-4.41386483318948,3.35349543644224,-0.748049770889222,NA,-1.02526139416948,NA,3.05363494343315,5,-59.5616006996354,129.480344256414,4.05764523289749,0.0137608430203136
"64",-3.11436765282774,3.67456298245783,-1.04367019268784,-3.13338854658088,-1.82378039549213,1.62726138515053,2.2380323214509,7,-57.5864511044082,129.847601003997,4.42490198048095,0.0114523932181801
"33",-4.13945085040371,NA,NA,NA,NA,NA,4.61983594737623,2,-62.9465582645986,129.963291967794,4.54059294427749,0.0108087202722728
"52",-5.0972102593833,3.48066215976461,-0.89703477382651,NA,NA,0.208966572330197,3.45140155479258,5,-59.874655281644,130.106453420431,4.68375439691452,0.0100620660327158
"4",-3.66333432370003,4.25242359814677,-1.02626068520195,NA,NA,NA,NA,3,-62.019969421642,130.181115313872,4.75841629035598,0.00969336438998186
"18",-3.736849756283,3.75119605795896,NA,NA,NA,-0.474236563716508,NA,3,-62.071868450094,130.284913370776,4.86221434726006,0.00920311983858036
"12",-3.02042913713371,4.08358798857963,-0.911911524696909,NA,-1.53707603249367,NA,NA,4,-61.201066153822,130.638818698177,5.21611967466033,0.00771055273570309
"45",-2.09616922561928,NA,NA,-2.38085790921606,-0.925575033963846,NA,3.22063729626348,4,-61.2360823303979,130.708851051328,5.28615202781221,0.00744523104461499
"26",-3.39492570015111,3.83922881124817,NA,NA,-1.74164983037319,0.242639026892569,NA,4,-61.3098487934924,130.856383977517,5.43368495400121,0.00691579022891434
"39",-2.98203555055267,NA,0.984207455074024,-2.51396477493287,NA,NA,3.31561003402632,4,-61.314117206583,130.864920803699,5.44222178018232,0.00688633369043017
"53",-2.63774637009034,NA,NA,-2.7603317677321,NA,0.405989477351649,3.53826376992957,4,-61.4371586358639,131.11100366226,5.68830463874401,0.00608908237918609
"5",-0.262461516430235,NA,NA,-3.90126888059164,NA,NA,NA,2,-63.5743760585139,131.218927555624,5.79622853210809,0.00576921167864465
"60",-4.64869362611505,3.57965045489875,-0.985169144582481,NA,-1.42783138064595,0.718914254510488,3.24681236295912,6,-59.3643757187365,131.231745449449,5.80904642593289,0.00573235533858808
"41",-3.55836203556746,NA,NA,NA,-1.08878763448106,NA,4.31581841046717,3,-62.5482161108053,131.237608692199,5.81490966868266,0.00571557485218355
"35",-4.65128135878818,NA,1.06902307393096,NA,NA,NA,4.50309951791068,3,-62.7194965373217,131.580169545232,6.15747052171547,0.00481585910624455
"49",-3.93739830394082,NA,NA,NA,NA,-0.291778573270519,4.45984009095818,3,-62.8976896109916,131.936555692571,6.51385666905513,0.00402981866456695
"20",-3.47371892506969,4.08697358740748,-0.904867540657254,NA,NA,-0.390098923703102,NA,4,-61.9411987640261,132.119083918585,6.6963848950685,0.00367832419089712
"61",-2.11699313551056,NA,NA,-2.89350361634046,-1.48536910295072,0.953901905147559,3.33250845111159,5,-60.8857222231703,132.128587303484,6.70588827996731,0.00366088738558902
"13",0.110797635303694,NA,NA,-3.57095764954052,-1.27018047130429,NA,NA,3,-63.0050192260038,132.151214922596,6.7285158990796,0.00361970222276168
"47",-2.57232021151544,NA,1.00919323280789,-2.37771159790647,-0.944182886037805,NA,3.10809317825076,5,-61.0265211076767,132.410185072496,6.98748604898007,0.00318008106497725
"7",-0.936015476043113,NA,1.24512174356168,-3.87330834403878,NA,NA,NA,3,-63.2160641482575,132.573304767103,7.15060574358706,0.00293100931932314
"28",-3.09266270789276,4.20361533155609,-1.00505072690779,NA,-1.76482087408066,0.349830417782078,NA,5,-61.1543329194891,132.665808696121,7.24310967260486,0.00279853167202585
"43",-4.07809292215941,NA,1.11453301194024,NA,-1.12004550427765,NA,4.18956364334494,4,-62.3044686835472,132.845623757627,7.42292473411068,0.00255790188435962
"55",-3.05031574585924,NA,0.924892303372298,-2.72946357908866,NA,0.337242649445928,3.40966540296066,5,-61.259720349899,132.876583556941,7.45388453342456,0.00251861071612815
"21",-0.268302699501887,NA,NA,-3.93547303588476,NA,0.0474315448301341,NA,3,-63.5732185434773,133.287613557543,7.86491453402668,0.00205072306598393
"57",-3.59719713580677,NA,NA,NA,-1.15660481065662,0.110445993580184,4.35480725848944,4,-62.5426342323502,133.321954855233,7.8992558317167,0.00201581140601612
"51",-4.43426352439143,NA,1.13822208887307,NA,NA,-0.36620735193024,4.30068542036933,4,-62.6429656491795,133.522617688892,8.09991866537526,0.00182337718983193
"15",-0.572286481205965,NA,1.26340042269887,-3.53239434834761,-1.28227160897708,NA,NA,4,-62.6480171783128,133.532720747158,8.11002172364196,0.00181418957213305
"29",0.15816700211076,NA,NA,-3.99332330111114,-1.7814896384928,0.791046098448745,NA,4,-62.7663074151871,133.769301220907,8.34660219739048,0.00161179524114319
"63",-2.5097048232661,NA,0.864345829093767,-2.86059588111266,-1.45942376250275,0.87731600291069,3.21236196645081,6,-60.734404456981,133.971802925938,8.54910390242186,0.00145658952573748
"23",-0.936012056755519,NA,1.24512674205174,-3.8732700013352,NA,-5.19826999039714e-05,NA,4,-63.2160641468767,134.668814684286,9.24611566076977,0.001027976063988
"59",-4.0856555807562,NA,1.10975899783218,NA,-1.13773697827596,0.0287223675675076,4.19982326726614,5,-62.3040940695442,134.965330996231,9.542631972715,0.000886329702155545
"31",-0.487427108416142,NA,1.19249831760711,-3.92718753549094,-1.74932263810263,0.721851154762384,NA,5,-62.4498508954169,135.256844647977,9.8341456244605,0.000766114916355469
"9",-1.15128168325211,NA,NA,NA,-1.83672971719181,NA,NA,2,-66.6485297363059,137.367234911208,11.9445358876921,0.000266703364984878
"1",-1.88178562088157,NA,NA,NA,NA,NA,NA,1,-67.949999737904,137.923255289762,12.5005562662453,0.000201971552635723
"17",-1.37995758719222,NA,NA,NA,NA,-1.18660600829622,NA,2,-67.0101535073439,138.090482453284,12.667783429768,0.000185770729665723
"11",-2.00059809002195,NA,1.61575198920395,NA,-1.85820824432819,NA,NA,3,-66.0734040192188,138.287984509026,12.8652854855097,0.000168302381145266
"3",-2.72210077083819,NA,1.58548365610422,NA,NA,NA,NA,2,-67.3725998592168,138.81537515703,13.3926761335138,0.000129291161294098
"19",-2.24223609104198,NA,1.64205205930156,NA,NA,-1.20531957001706,NA,3,-66.4027939224627,138.946764315514,13.5240652919974,0.000121070418340215
"25",-1.07429574035743,NA,NA,NA,-1.39286945344714,-0.598039281246546,NA,3,-66.4829874072428,139.107151285074,13.6844522615577,0.00011174046006366
"27",-1.93421712917531,NA,1.64216826061789,NA,-1.38841532097587,-0.629897361299314,NA,4,-65.8892171706177,140.015120731768,14.5924217082517,7.0965520898742e-05
