"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"93",-0.983576880834952,NA,NA,0.262844391944273,-0.516220571837982,-0.193285042646845,NA,0.434196520832551,5,-182.942489851361,376.242122559865,15.7912714584477,7.45060514480688e-05
"11",0.633461414128958,NA,-0.0160364566851243,NA,-0.500288920946049,NA,NA,NA,3,-185.055901370195,376.252979210978,15.8021281095612,7.41027040857015e-05
"4",-0.774848327909128,0.00408663706589655,-0.024079903952242,NA,NA,NA,NA,NA,3,-185.093567537584,376.328311545757,15.8774604443394,7.13634516496423e-05
"79",-1.11408048876396,NA,-0.00962711367330557,0.245851023369415,-0.492070119146445,NA,NA,0.429133236081819,5,-183.037896910609,376.432936678361,15.9820855769437,6.77262124480777e-05
"61",-0.936251235116418,NA,NA,0.261014189687403,-0.52247374314167,-0.163085172816783,-0.00186928977711366,NA,5,-183.131363037274,376.619868931691,16.1690178302741,6.16829258237573e-05
"47",-1.03906105084578,NA,-0.00851684702004193,0.245712016289755,-0.497908068177438,NA,-0.00203319840165884,NA,5,-183.169675947714,376.69649475257,16.245643651153,5.93643722841719e-05
"31",-0.811932582820227,NA,-0.0076466662973433,0.24672463546614,-0.509654534813101,-0.16526570639719,NA,NA,5,-183.174348570226,376.705839997596,16.2549888961786,5.90876320366472e-05
"25",0.895299588644569,NA,NA,NA,-0.552015205351369,-0.221871666686934,NA,NA,3,-185.318348284823,376.777873040235,16.3270219388179,5.69973690295222e-05
"73",0.488717898497662,NA,NA,NA,-0.546107583870567,NA,NA,0.472862731109201,3,-185.325538828649,376.792254127887,16.3414030264693,5.65889969178846e-05
"41",0.575264426425926,NA,NA,NA,-0.544671981143556,NA,-0.00242630354568931,NA,3,-185.412409630497,376.965995731582,16.5151446301645,5.18805397763842e-05
"2",-1.15407649462166,0.00472861749219698,NA,NA,NA,NA,NA,NA,2,-186.757502162769,377.585179764135,17.1343286627177,3.80671515967879e-05
"75",0.559969116246887,NA,-0.014382527507948,NA,-0.485377816553976,NA,NA,0.389441778498895,4,-184.764035852572,377.764758095677,17.3139069942596,3.4798092834476e-05
"36",-0.748006586840573,0.00399868902717767,-0.0205515182128189,NA,NA,NA,-0.00243430875921141,NA,4,-184.813591939205,377.863870268942,17.4130191675249,3.31156670455432e-05
"34",-1.01058274852309,0.00440936094477609,NA,NA,NA,NA,-0.00422641989957452,NA,3,-185.870971298128,377.883119066844,17.4322679654269,3.27984774822283e-05
"68",-0.806899769952999,0.0039979011141288,-0.0223197004635966,NA,NA,NA,NA,0.341239924493373,4,-184.840265799066,377.917217988664,17.4663668872469,3.22440211442244e-05
"125",-1.06298114241904,NA,NA,0.263999023254679,-0.499557723008548,-0.141310388900981,-0.00183946127711226,0.430029519960939,6,-182.776150727749,378.055295467475,17.6044443660578,3.0093039397874e-05
"43",0.630410337094747,NA,-0.0140715459685752,NA,-0.491516183165828,NA,-0.00157493517011774,NA,4,-184.909771177345,378.056228745222,17.6053776438047,3.0079000091768e-05
"27",0.813656485852823,NA,-0.0130803086616592,NA,-0.500912449568014,-0.131114052545215,NA,NA,4,-184.921497662367,378.079681715267,17.6288306138495,2.97283391759777e-05
"20",-0.580163484284557,0.00409962392749052,-0.0214675599442991,NA,NA,-0.139958849625049,NA,NA,4,-184.924167499667,378.085021389867,17.6341702884498,2.96490752052101e-05
