"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"47",-2.22792721510286,NA,-0.0165542384388364,0.47948389701575,-0.750086492763703,NA,-0.00693527581798671,NA,5,-94.5935149525651,199.544172762273,7.87979740472019,0.00333734614680228
"41",0.864651334995184,NA,NA,NA,-0.820349870556487,NA,-0.00751193677614298,NA,3,-96.7080946672097,199.557365805008,7.89299044745476,0.00331540372303549
"96",-1.10501199888333,0.00548322429380006,-0.0100461488811855,0.166085336420231,-0.770863942614935,-0.0409700511064,NA,-0.226300148092956,7,-92.4890856067059,199.652870008593,7.98849465103979,0.00316080676744621
"77",-2.51959120824404,NA,NA,0.498551797834029,-0.881628813167011,NA,NA,0.57899577328551,4,-95.7583345781,199.753355546733,8.08898018917975,0.00300592256874244
"29",-2.20858967648843,NA,NA,0.499679853013269,-0.891564581248118,-0.159082096432959,NA,NA,4,-95.765443810515,199.767574011563,8.10319865400982,0.00298462854833507
"109",-2.60963511418126,NA,NA,0.517373758809767,-0.79093649347737,NA,-0.00816879628684073,0.460220321944424,5,-94.7299189498337,199.81698075681,8.15260539925745,0.00291180139883399
"61",-2.731961312801,NA,NA,0.522982406364729,-0.809494644245323,0.098511777603519,-0.00884405575862358,NA,5,-94.7600124256667,199.877167708476,8.21279235092342,0.00282548053558757
"43",0.983707017598241,NA,-0.0271845209253109,NA,-0.724841494323495,NA,-0.0056111171233923,NA,4,-96.1530668885437,200.54282016762,8.87844481006724,0.00202557218604167
"79",-2.01915393490645,NA,-0.0254048286844884,0.443529785063364,-0.775097448617972,NA,NA,0.354975683441692,5,-95.2491000162631,200.855342889669,9.19096753211619,0.00173254402086778
"31",-1.9721730225919,NA,-0.0266113506136068,0.442423789718012,-0.785199188715767,0.00937103111006056,NA,NA,5,-95.2801077113656,200.917358279874,9.25298292232125,0.00167964618241092
"128",-1.51035944022485,0.0051470640149715,-0.00623815457654669,0.205293165717392,-0.741189657741969,0.0930959228296499,-0.00562239268297691,-0.186220915399113,8,-92.0973450378659,201.067417348459,9.40304199090633,0.00155823478302681
"73",0.756243663917233,NA,NA,NA,-0.878656711669689,NA,NA,0.641381674291519,3,-97.5538896417502,201.248955754089,9.58458039653596,0.00142302434675899
"25",1.10070654675062,NA,NA,NA,-0.889879587439207,-0.17128037404129,NA,NA,3,-97.5681319623802,201.277440395349,9.61306503779588,0.00140290082076265
"75",0.951988985453664,NA,-0.0336086517686694,NA,-0.745571498471636,NA,NA,0.323107665911575,4,-96.6170665021592,201.470819394851,9.80644403729826,0.00127360645962693
"27",0.913509391647155,NA,-0.0358973098357825,NA,-0.753511132425526,0.060850836586093,NA,NA,4,-96.6335285071001,201.503743404733,9.83936804717993,0.0012528119728703
"105",0.794889278530485,NA,NA,NA,-0.801299414607825,NA,-0.00739295142450144,0.52399702637594,4,-96.6400876882833,201.516861767099,9.85248640954637,0.00124462144310109
"63",-2.48949707175443,NA,-0.0197426403009043,0.47775292260421,-0.741763517261125,0.190713737982482,-0.00773834712422663,NA,6,-94.5131095064405,201.529213024857,9.86483766730424,0.00123695880812203
"111",-2.28309451258382,NA,-0.0155990063794865,0.480200015218658,-0.740519060088117,NA,-0.0069293663679028,0.33940792116539,6,-94.5649129651601,201.632819942296,9.96844458474339,0.00117451152096071
"57",0.787207801167576,NA,NA,NA,-0.821201408045621,0.0513416888507026,-0.00776992698860652,NA,4,-96.7017779613344,201.640242313201,9.9758669556486,0.00117016076910724
"93",-2.28918588438875,NA,NA,0.497471144233247,-0.871171968874074,-0.143709813764131,NA,0.52802891802098,5,-95.6972089991973,201.751560855537,10.0871854979847,0.00110680986026451
"125",-2.80823632703584,NA,NA,0.52110280840548,-0.790652704132751,0.112597033205294,-0.00881655406714951,0.490804448252172,6,-94.7002338006627,201.903461613302,10.2390862557488,0.00102586021914087
"59",0.683647224008221,NA,-0.0307867138711893,NA,-0.716930195611701,0.210051397634375,-0.0063793528614524,NA,5,-96.0546363193534,202.46641549585,10.8020401382968,0.000774184205225133
"107",0.939465183485727,NA,-0.0263241336207311,NA,-0.716858851387541,NA,-0.00559495915789606,0.304155009094328,5,-96.1301189170112,202.617380691165,10.9530053336125,0.000717897814199514
"95",-2.03540511823278,NA,-0.0257310340226048,0.442929534256333,-0.774791834571703,0.0141869310208054,NA,0.356920496067742,6,-95.2485875874033,203.000169186783,11.3357938292299,0.000592845005349095
"4",-1.08716333172627,0.0062710704711773,-0.0489272213587448,NA,NA,NA,NA,NA,3,-98.4484245229235,203.038025516435,11.3736501588825,0.000581729071365233
"89",0.996732890915977,NA,NA,NA,-0.868400985025724,-0.153920626950793,NA,0.586091866699977,4,-97.4847534715744,203.206193333681,11.5418179761285,0.000534815013318274
"36",-1.00976963215331,0.00600617349220801,-0.0383230607433794,NA,NA,NA,-0.00748417182089798,NA,4,-97.6579368985136,203.55256018756,11.888184830007,0.000449770517089489
"91",0.85853121167594,NA,-0.0350470627014289,NA,-0.7443871930696,0.0653420679079516,NA,0.33211311491725,5,-96.6062518880351,203.569646633213,11.9052712756603,0.00044594439432211
"121",0.6914598454026,NA,NA,NA,-0.801627029748886,0.0668271545644293,-0.00772548359157231,0.542580483290497,5,-96.6294606160313,203.616064089205,11.9516887316526,0.000435713771265511
"127",-2.55768847000165,NA,-0.0187833203272262,0.478522980123179,-0.731008980151424,0.196428054345656,-0.00776025695879114,0.366522571234935,7,-94.4797686532351,203.634236101651,11.9698607440982,0.000431772804166578
"34",-1.51722669227294,0.00690604428989515,NA,NA,NA,NA,-0.0111973416212717,NA,3,-98.7505978861306,203.642372242849,11.9779968852966,0.000430019889823495
"123",0.628013797186322,NA,-0.029915964251346,NA,-0.707856769060347,0.214906493322577,-0.00638172405122779,0.332346880747327,6,-96.0272503752629,204.557494762502,12.8931194049491,0.000272127363045897
"38",-3.16284247534072,0.00590893925843579,NA,0.276246024225431,NA,NA,-0.0123755128538056,NA,4,-98.313084371568,204.862855133669,13.1984797761158,0.00023359527353905
"8",-1.99584860401856,0.0058056272134192,-0.0482870021451541,0.147527284162561,NA,NA,NA,NA,4,-98.315878647254,204.86844368504,13.2040683274877,0.000232943455050238
"68",-1.11896741559072,0.00616575487472858,-0.0474405937092489,NA,NA,NA,NA,0.457843014004099,4,-98.403760089854,205.044206570241,13.3798312126878,0.000213345794847174
"20",-1.15369728827167,0.00625638150837522,-0.0499589260700308,NA,NA,0.0493132818928048,NA,NA,4,-98.4418014149611,205.120289220455,13.455913862902,0.000205382269964419
"40",-2.34141492626858,0.00530128695151276,-0.0358058349054122,0.217020487500125,NA,NA,-0.00844745157452721,NA,5,-97.3858337908708,205.128810438885,13.4644350813318,0.000204509077858504
"2",-1.89374027951011,0.00781301408945418,NA,NA,NA,NA,NA,NA,2,-100.56233390835,205.194843255297,13.5304678977443,0.000197867171942092
