"","(Intercept)","COND_avg","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"24",-2.63289952205747,2.58487867496458,0.543661215323987,-2.35721569556469,NA,1.04519757712107,NA,5,-75.7893427829339,161.935828423011,3.05220522767371,0.0194285108118229
"33",-2.86328034029332,NA,NA,NA,NA,NA,2.83555294468936,2,-79.0070604319038,162.084296302404,3.2006731070673,0.0180384876324602
"26",-3.13025228662445,3.04155231683252,NA,NA,-0.822978583944515,0.761299549352583,NA,4,-77.0411962330794,162.319078856691,3.43545566135447,0.0160404939981823
"40",-3.11519561387338,1.96052142788567,0.900241655434352,-1.20604277038768,NA,NA,1.25225813374141,5,-76.0911077231242,162.539358303391,3.65573510805444,0.0143676144391168
"58",-4.03333473601676,2.60605841614572,NA,NA,-0.587817336696145,0.976525039765295,1.98589655203698,5,-76.1343543499687,162.62585155708,3.74222836174349,0.0137595076368768
"7",-1.69183058808958,NA,2.08584582634096,-2.18593818808142,NA,NA,NA,3,-78.2431911168343,162.627558704257,3.74393550892,0.0137477678956498
"20",-3.48125650660093,2.78204276030326,0.599232010651904,NA,NA,0.368180710757448,NA,4,-77.1985317916174,162.633749973767,3.75012677843057,0.0137052756317424
"52",-4.3978208564312,2.32262701469078,0.645157272371916,NA,NA,0.695830798728569,2.08948497277192,5,-76.1673604904655,162.691863838074,3.80824064273696,0.0133127724523513
"12",-3.13129273386986,2.55992683041795,0.749858072362354,NA,-0.357848702381938,NA,NA,4,-77.2340428103846,162.704772011302,3.82114881596479,0.0132271273436444
"62",-2.95765483813748,2.57909951706561,NA,-2.02820107638636,-0.845811421244562,1.54913001734043,1.28098725300748,6,-75.173130590542,162.84925519306,3.96563199772328,0.012305277454156
"46",-2.79833361954289,2.28222381635197,NA,-1.18424097165331,0.0143453773232233,NA,1.20923558485263,5,-76.2665398436958,162.890222544534,4.0065993491975,0.0120557841345517
"39",-2.90466862115194,NA,1.96657548633997,-1.35969356052456,NA,NA,1.94636002110154,4,-77.3510568022586,162.93879999505,4.05517679971297,0.0117664919965666
