"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"122",-0.626318640302944,0.00669904352921371,NA,NA,-0.830280739480912,-0.68449134938727,0.00787395080695218,-0.989872899525905,6,-58.416395853221,129.335785718418,4.22266674444364,0.0165986997217968
"9",-0.453347665633257,NA,NA,NA,-0.870821837863296,NA,NA,NA,2,-62.6921929610396,129.454561360676,4.34144238670117,0.0156416392523091
"62",-0.487465790071843,0.00655017115260707,NA,-0.051401694465955,-0.778522252794711,-0.63818777173909,0.0078541878690485,NA,6,-58.6163318475522,129.73565770708,4.6225387331059,0.0135907357796379
"2",-3.04720542216669,0.0072352797086388,NA,NA,NA,NA,NA,NA,2,-62.8549385612551,129.780052561107,4.66693358713226,0.0132923800296361
"92",-0.758841303423351,0.00683277988428838,0.0335679047229319,NA,-0.908216129944768,-0.670189482489009,NA,-0.89960097509828,6,-58.6828742577436,129.868742527463,4.7556235534887,0.0127158081769146
"32",-0.965811016586425,0.00656777218697648,0.0347026770289299,0.00836059901945267,-0.867853171608406,-0.636971579720065,NA,NA,6,-58.8562061181381,130.215406248252,5.10228727427773,0.0106921956556453
"108",-1.72182961104826,0.0068991631329499,0.0135869132508963,NA,-0.923707708107472,NA,0.00485496463192951,-0.768449028262515,6,-58.9243672329281,130.351728477832,5.23860950385767,0.00998768648317633
"110",-1.14259517012407,0.0068685704801118,NA,-0.0781348644966758,-0.864966299885831,NA,0.00542861713481779,-0.842180133559212,6,-58.9704154292204,130.443824870417,5.33070589644234,0.00953819997968562
"94",-0.483315818258959,0.00634605551169391,NA,-0.054262460618344,-0.774087888939835,-0.457814846862484,NA,-0.997345992606158,6,-59.03691231135,130.576818634676,5.46369966070159,0.00892456783061569
"48",-1.55000639526765,0.00682084990791924,0.0145842199454216,-0.0439092467163874,-0.883023615776898,NA,0.00493552645492617,NA,6,-59.0461416894062,130.595277390788,5.48215841681397,0.00884257855711573
"25",0.305176761214299,NA,NA,NA,-0.818859584364958,-0.521421981013043,NA,NA,3,-62.3229484277858,130.78707332616,5.6739543521854,0.00803398411257447
"13",-2.28936687583957,NA,NA,0.277204004015691,-0.868340232714499,NA,NA,NA,3,-62.334102302703,130.809381075994,5.69626210201966,0.00794487195548391
"80",-1.47019542695377,0.00677728084140819,0.0189471565607941,-0.0341916048553714,-0.892883793242835,NA,NA,-0.783955146385798,6,-59.1791644359706,130.861322883917,5.74820390994273,0.00774119276344212
"18",-2.07608976646888,0.00699845194273922,NA,NA,NA,-0.580255323724535,NA,NA,3,-62.3715819101519,130.884340290892,5.77122131691752,0.00765261237172624
"124",-0.576468575687792,0.0072399997026793,0.0296019098913862,NA,-0.946097310969585,-0.86412606836396,0.00744083717399761,-0.929176350838503,7,-58.1332911189536,130.941281033088,5.8281620591134,0.00743781189122723
"64",-0.647775397296005,0.0070164351629074,0.0303264998361281,-0.0148157529094467,-0.901105712461844,-0.825955849766976,0.00737799871061974,NA,7,-58.3175283253595,131.3097554459,6.19663647192519,0.00618631440697741
"41",-0.45929993538094,NA,NA,NA,-0.901484691519461,NA,0.00233616485491292,NA,3,-62.6221494777297,131.385475426048,6.27235645207313,0.0059564788438021
"126",-0.206237772949944,0.00689397341003159,NA,-0.0694240252898692,-0.827441190848884,-0.680854955282262,0.00789610332899209,-1.00968847068321,7,-58.3989763841015,131.472651563384,6.35953258940916,0.00570242452576291
