Group,Species,Frequency,Label,FP?,group
Terrestrial plant,Hypericum maculatum,28,,notFP,terrestrial
Terrestrial plant,Impatiens glandulifera,1,,notFP,terrestrial
Terrestrial plant,Impatiens noli-tangere,3,,notFP,terrestrial
Terrestrial plant,Juncus alpinoarticulatus,2,,notFP,terrestrial
Terrestrial plant,Juncus articulatus,16,,notFP,terrestrial
Terrestrial plant,Juncus bufonius,3,,notFP,terrestrial
Terrestrial plant,Juncus conglomeratus,22,,notFP,terrestrial
Terrestrial plant,Juncus effusus,22,,notFP,terrestrial
Terrestrial plant,Juncus filiformis,14,,notFP,terrestrial
Terrestrial plant,Juncus supinus,3,,notFP,terrestrial
Terrestrial plant,Juniperus communis,6,,notFP,terrestrial
Terrestrial plant,Knautia arvensis,2,,notFP,terrestrial
Terrestrial plant,Lapsana communis,11,,notFP,terrestrial
Terrestrial plant,Lathyrus linifolius,6,,notFP,terrestrial
Terrestrial plant,Lathyrus pratensis,29,,notFP,terrestrial
Terrestrial plant,Leontodon autumnalis,22,,notFP,terrestrial
Terrestrial plant,Leucanthemum vulgare,18,,notFP,terrestrial
Terrestrial plant,Linaria vulgaris,7,,notFP,terrestrial
Terrestrial plant,Linum catharticum,1,,notFP,terrestrial
Terrestrial plant,Lolium multiflorum,2,,notFP,terrestrial
Terrestrial plant,Lolium perenne,4,,notFP,terrestrial
Terrestrial plant,Lotus corniculatus,10,,notFP,terrestrial
Terrestrial plant,Lupinus polyphyllus,4,,notFP,terrestrial
Terrestrial plant,Luzula multiflora,7,,notFP,terrestrial
Terrestrial plant,Luzula pilosa,9,,notFP,terrestrial
Terrestrial plant,Lychnis flos-cuculi,3,,notFP,terrestrial
Terrestrial plant,Lysimachia nummularia,5,,notFP,terrestrial
Terrestrial plant,Lysimachia vulgaris,9,,notFP,terrestrial
Terrestrial plant,Lythrum salicaria,7,,notFP,terrestrial
Terrestrial plant,Maianthemum bifolium,5,,notFP,terrestrial
Terrestrial plant,Matricaria perforata,28,,notFP,terrestrial
Terrestrial plant,Medicago lupulina,1,,notFP,terrestrial
Terrestrial plant,Melampyrum pratense,10,,notFP,terrestrial
Terrestrial plant,Melampyrum sylvaticum,5,,notFP,terrestrial
Terrestrial plant,Melica nutans,3,,notFP,terrestrial
Terrestrial plant,Mentha arvensis,9,,notFP,terrestrial
Terrestrial plant,Monotropa hypopitys,1,,notFP,terrestrial
Terrestrial plant,Montia fontana,1,,notFP,terrestrial
Terrestrial plant,Mycelis muralis,1,,notFP,terrestrial
Terrestrial plant,Myosotis arvensis,17,,notFP,terrestrial
