"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"1440",-4.6619109705558,0.164030549355102,0.822410657791463,0.255539100878599,0.0477345204491229,0.450204557613685,NA,NA,-0.0387420728220527,0.306129817731977,NA,-0.497135207319634,9,-171.205938718694,361.509438412997,10.0821054854634,0.000319144227477882
"868",-3.17930001102698,0.257865571404803,0.729203375295067,NA,NA,NA,-0.442632416747976,-0.0901451994224576,NA,0.207298523690042,-0.00393857562789021,NA,7,-173.417826817382,361.510352429944,10.0830195024108,0.000318998409184241
"679",-4.46709536665925,NA,0.857242149196941,0.205036260861218,NA,NA,-0.561594053666244,NA,0.00267600729027036,NA,-0.0986418824770494,NA,6,-174.504348538923,361.511691089821,10.0843581622875,0.000318784965438802
"567",-4.52635048503225,NA,0.853364180731712,0.20491803103496,NA,0.0405793061205407,-0.558179284418735,NA,NA,NA,-0.0972039961029824,NA,6,-174.504654957686,361.512303927348,10.0849709998139,0.000318687298708184
"1580",-4.4885321167247,0.175293353077784,0.852451429103311,NA,0.0548087145112291,NA,-0.623009125136856,NA,NA,NA,0.0573331387808004,-0.405879190718753,7,-173.425239030492,361.525176856164,10.0978439286305,0.000316642666412931
"1496",-4.53162625640623,0.179431842450125,0.811422955160414,0.258414750829613,NA,0.426902148237859,NA,0.0861971991196887,-0.0353249628575221,0.30004091153166,NA,-0.490191888069289,9,-171.222495379798,361.542551735206,10.1152188076721,0.000313903766637573
"932",-3.17980657296717,0.240542303655755,0.731034328903746,NA,NA,NA,-0.452314316291437,NA,0.00637578657871169,0.213568154278343,-0.0126742976408283,NA,7,-173.435034439014,361.544767673209,10.1174347456756,0.000313556163596867
"887",-3.83711606451499,NA,0.733846964741751,0.207598447602435,NA,0.204677356875428,-0.392819851252905,-0.0206613374646549,NA,0.217940748805596,-0.0461109829122705,NA,8,-172.337061249643,361.546849772014,10.1195168444799,0.000313229905994822
"827",-4.08866311327887,NA,0.732506410922602,NA,0.157359580187275,0.306082774776512,-0.484933719773119,NA,NA,0.239283463110044,0.0162297804764651,NA,7,-173.440853230116,361.556405255413,10.1290723278792,0.000311736943745341
"1196",-4.27746831569924,0.178039378783,0.855667202838016,NA,0.05352055978088,NA,-0.620444368421058,NA,9.71922915214619e-05,NA,NA,-0.400668737972342,7,-173.440916307753,361.556531410686,10.1291984831528,0.000311717280735778
