"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"68",-2.24215245712705,0.00500068910287796,-0.00497280006174606,NA,NA,NA,NA,0.15338150117792,4,-78.3426468718787,164.92198013429,5.19294636077336,0.00653121710895516
"36",-2.22484905522504,0.00501598968842365,-0.00475564662105001,NA,NA,NA,-0.000476811223956307,NA,4,-78.3456364385349,164.927959267602,5.19892549408587,0.00651172075740346
"98",-2.29797494150458,0.00507637855796601,NA,NA,NA,NA,-0.000760740499248711,0.181836174162729,4,-78.3508371774287,164.93836074539,5.20932697187334,0.00647794290901458
"32",-2.50498482658251,0.00413799809308602,0.0250466039166964,0.219558865803663,-0.469121934992274,-0.358612093277011,NA,NA,6,-76.2268910776022,164.956776167181,5.22774239366399,0.00641856964890006
"1",-1.52885742577476,NA,NA,NA,NA,NA,NA,NA,1,-81.5352365971218,165.093729008197,5.36469523468051,0.0059937596895027
"60",-1.08933184065075,0.00483458100706677,0.0210905889655351,NA,-0.474218493227364,-0.405961947464028,0.00267355609221323,NA,6,-76.3654062631637,165.233806538303,5.50477276478696,0.00558832785646798
"92",-1.1257288365751,0.00477967913620698,0.0224376411085799,NA,-0.467850302284987,-0.343670578557233,NA,-0.293301566033786,6,-76.430581271464,165.364156554904,5.63512278138748,0.00523572383366868
"57",-0.20775936762145,NA,NA,NA,-0.482044105621886,-0.299380113157657,0.00106864701194833,NA,4,-78.5676025478335,165.3718914862,5.642857712683,0.00521551395729254
"62",-2.17673490246861,0.00387129394648584,NA,0.179257329673905,-0.406161580093853,-0.293798639017075,0.002919896213211,NA,6,-76.437443274651,165.377880561278,5.64884678776161,0.00519991926605826
"27",-0.23286163276157,NA,0.00372727279267729,NA,-0.486211878186294,-0.291861408060139,NA,NA,4,-78.575174293135,165.387034976803,5.65800120328598,0.00517617254353173
"89",-0.288425649393143,NA,NA,NA,-0.466090254665448,-0.258476093969358,NA,0.166860862080014,4,-78.5762800266104,165.389246443753,5.66021267023686,0.00517045223942438
"48",-2.87758074921605,0.00415142850577164,0.0163135909496502,0.199160556666948,-0.463729284374334,NA,0.000680813657156242,NA,6,-76.4495630931122,165.4021201982,5.67308642468385,0.00513727755838852
"80",-2.87151305742752,0.00414998137777838,0.0169557193428848,0.201026897104358,-0.463937071960259,NA,NA,-0.132594154519938,6,-76.4511942168894,165.405382445755,5.6763486722383,0.00512890485312846
"94",-2.25992639788556,0.0037503996567394,NA,0.185356040853399,-0.392900894567385,-0.214950185754791,NA,-0.289965470552821,6,-76.5214069290294,165.545807870035,5.81677409651834,0.00478114207280803
"122",-1.02756898872675,0.00449616423393456,NA,NA,-0.41901089631313,-0.305104577307751,0.00318331671170849,-0.367816574654233,6,-76.5562005955859,165.615395203148,5.88636142963134,0.00461764935860545
"75",-0.681319330425747,NA,-0.00185698696041027,NA,-0.472876927844936,NA,NA,0.237843611700864,4,-78.709116786141,165.654919962815,5.92588618929804,0.00452728942256508
"105",-0.691673561175735,NA,NA,NA,-0.47842091638365,NA,-0.000149086997388305,0.250527978871252,4,-78.7110457008492,165.658777792231,5.9297440187145,0.00451856508436667
"110",-2.56104715961216,0.00393606582730482,NA,0.173798927471237,-0.41891008606004,NA,0.0015515860430198,-0.213850173073777,6,-76.5824282614952,165.667850534966,5.93881676144983,0.00449811361789048
"31",-2.93822134226256,NA,0.0117138743394466,0.409117100094135,-0.493727727364991,-0.341268867059341,NA,NA,5,-77.6577672382918,165.672677333727,5.94364356021001,0.00448727096236531
"43",-0.645006193638111,NA,-0.00247857054551145,NA,-0.479073881936862,NA,-5.80309981233686e-05,NA,4,-78.7226771683312,165.682040727195,5.95300695367834,0.00446631202054221
"108",-1.61720595873758,0.00474491952119356,0.0136856366136798,NA,-0.46339154548449,NA,0.00116599374369088,-0.214547676894251,6,-76.621565815722,165.74612564342,6.01709186990354,0.00432546893436872
"61",-2.80235514264958,NA,NA,0.385115082603622,-0.458242221519501,-0.291335661937326,0.000950598219395624,NA,5,-77.7203319189048,165.797806694953,6.06877292143602,0.00421512831252905
"93",-2.88580155028708,NA,NA,0.386065565665907,-0.442738250755305,-0.253750179494508,NA,0.167420946829686,5,-77.7250608834936,165.80726462413,6.07823085061347,0.00419524217747605
"3",-1.18078449562784,NA,-0.0283781608975407,NA,NA,NA,NA,NA,2,-80.8715350446451,165.813245527887,6.08421175437013,0.0041827152475524
"7",-4.03662454947313,NA,-0.0210930743200463,0.41964201223083,NA,NA,NA,NA,3,-79.8783050695835,165.897786609755,6.16875283623864,0.00400959434546841
"37",-4.53573684084254,NA,NA,0.473156478784467,NA,NA,-0.00461756272815522,NA,3,-79.9113722466542,165.963920963897,6.23488719038011,0.00387917653708112
"21",-4.02714504608975,NA,NA,0.471945567372249,NA,-0.376299850280039,NA,NA,3,-79.9261362835202,165.993449037629,6.26441526411216,0.00382232494387702
"79",-3.37976407845604,NA,0.00500723361111126,0.396561008372153,-0.47729499058149,NA,NA,0.289168244746809,5,-77.8403521895909,166.037847236325,6.3088134628081,0.00373840766291103
"47",-3.34640127912355,NA,0.00538421079880579,0.397718610911529,-0.481288670899164,NA,-0.000762736597708001,NA,5,-77.8525742745619,166.062291406267,6.33325763275013,0.00369299461318785
"109",-3.28328108609532,NA,NA,0.386645458101932,-0.453399038640043,NA,-0.000339560749299652,0.247013132710202,5,-77.8544254113317,166.065993679806,6.33695990628982,0.00368616469857192
"69",-4.69732974982931,NA,NA,0.470314802166952,NA,NA,NA,0.971780026028916,3,-79.981135619104,166.103447708796,6.37441393527968,0.00361777619374019
"86",-3.17834125070286,0.0044320949802651,NA,0.212079615535998,NA,-0.269383395051638,NA,0.177357386059136,5,-78.0092619015186,166.37566666018,6.64663288666358,0.00315740361883195
"24",-3.15541599370281,0.00452990178468434,0.00109697557169812,0.209717764189812,NA,-0.283720349938327,NA,NA,5,-78.0163836715949,166.389910200333,6.66087642681617,0.0031349971976143
"54",-3.13274622380391,0.00451669260787985,NA,0.207693184780812,NA,-0.282367256402435,0.000161518185071319,NA,5,-78.0168050356779,166.390752928499,6.66171915498217,0.0031336765006616
